Date,GFS
2022-07-29,51.47999954223633
2022-08-01,54.540000915527344
2022-08-02,52.75
2022-08-03,54.09000015258789
2022-08-04,53.630001068115234
2022-08-05,53.09000015258789
2022-08-08,59.189998626708984
2022-08-09,55.66999816894531
2022-08-10,57.70000076293945
2022-08-11,58.04999923706055
2022-08-12,64.94999694824219
2022-08-15,63.22999954223633
2022-08-16,63.959999084472656
2022-08-17,61.470001220703125
2022-08-18,64.1500015258789
2022-08-19,61.20000076293945
2022-08-22,59.040000915527344
2022-08-23,59.86000061035156
2022-08-24,60.400001525878906
2022-08-25,64.5
2022-08-26,60.650001525878906
2022-08-29,59.040000915527344
2022-08-30,61.11000061035156
2022-08-31,59.81999969482422
2022-09-01,57.43000030517578
2022-09-02,57.880001068115234
2022-09-06,58.900001525878906
2022-09-07,59.77000045776367
