Date,CRCT
2021-12-20,16.160085678100586
2021-12-21,15.872139930725098
2021-12-22,16.237340927124023
2021-12-23,16.47612190246582
2021-12-27,16.216270446777344
2021-12-28,16.061765670776367
2021-12-29,15.13471794128418
2021-12-30,15.506940841674805
2021-12-31,15.513965606689453
2022-01-03,15.577170372009277
2022-01-04,16.29352378845215
2022-01-05,15.85107135772705
2022-01-06,16.363754272460938
2022-01-07,16.41291618347168
2022-01-10,16.46207618713379
2022-01-11,16.047718048095703
2022-01-12,15.780839920043945
2022-01-13,15.520984649658203
2022-01-14,15.745726585388184
2022-01-18,14.221718788146973
2022-01-19,14.36920166015625
2022-01-20,14.334086418151855
2022-01-21,13.463227272033691
2022-01-24,14.102326393127441
2022-01-25,13.982933044433594
2022-01-26,13.821402549743652
2022-01-27,13.34383487701416
