Date,AIG
2010-09-29,23.662338256835938
2010-09-30,24.704853057861328
2010-10-01,24.553226470947266
2010-10-04,24.818593978881836
2010-10-05,25.235618591308594
2010-10-06,25.7410831451416
2010-10-07,25.570486068725586
2010-10-08,25.848493576049805
2010-10-11,25.930633544921875
2010-10-12,26.398193359375
2010-10-13,26.985803604125977
2010-10-14,26.499284744262695
2010-10-15,26.20232391357422
2010-10-18,26.701473236083984
2010-10-19,25.911672592163086
2010-10-20,26.290782928466797
2010-10-21,26.082265853881836
2010-10-22,26.259191513061523
2010-10-25,25.968538284301758
2010-10-26,26.5561580657959
2010-10-27,26.423463821411133
2010-10-28,26.524555206298828
2010-10-29,26.54351234436035
2010-11-01,26.486652374267578
2010-11-02,26.613014221191406
2010-11-03,27.529190063476562
2010-11-04,28.268444061279297
