Date,RSG
2010-09-29,22.166492462158203
2010-09-30,22.2101993560791
2010-10-01,22.26119041442871
2010-10-04,21.991668701171875
2010-10-05,22.61812400817871
2010-10-06,22.727392196655273
2010-10-07,22.65455436706543
2010-10-08,22.741962432861328
2010-10-11,22.75653076171875
2010-10-12,22.69097328186035
2010-10-13,23.215452194213867
2010-10-14,22.61812400817871
2010-10-15,22.39231300354004
2010-10-18,22.071796417236328
2010-10-19,21.911531448364258
2010-10-20,22.086360931396484
2010-10-21,22.436012268066406
2010-10-22,22.370464324951172
2010-10-25,22.45058822631836
2010-10-26,22.326749801635742
2010-10-27,21.911531448364258
2010-10-28,22.173778533935547
2010-10-29,21.714860916137695
2010-11-01,21.452619552612305
2010-11-02,21.773134231567383
2010-11-03,21.736713409423828
