Date,NDAQ
2010-09-28,5.342898845672607
2010-09-29,5.324095249176025
2010-09-30,5.219330787658691
2010-10-01,5.184412956237793
2010-10-04,5.181727409362793
2010-10-05,5.340212345123291
2010-10-06,5.345584869384766
2010-10-07,5.310665607452393
2010-10-08,5.340212345123291
2010-10-11,5.345584869384766
2010-10-12,5.375133991241455
2010-10-13,5.404682636260986
2010-10-14,5.361703872680664
2010-10-15,5.348270416259766
2010-10-18,5.498698711395264
2010-10-19,5.418112277984619
2010-10-20,5.538991451263428
2010-10-21,5.501386642456055
2010-10-22,5.549739837646484
2010-10-25,5.614207744598389
2010-10-26,5.600776672363281
2010-10-27,5.6491289138793945
2010-10-28,5.614207744598389
2010-10-29,5.670618534088135
2010-11-01,5.670618534088135
2010-11-02,5.775381088256836
