Date,MSEX
2010-09-29,11.413114547729492
2010-09-30,11.481298446655273
2010-10-01,11.569930076599121
2010-10-04,11.515385627746582
2010-10-05,11.82219123840332
2010-10-06,11.869918823242188
2010-10-07,11.672197341918945
2010-10-08,11.856279373168945
2010-10-11,11.774470329284668
2010-10-12,11.733558654785156
2010-10-13,11.958545684814453
2010-10-14,12.074450492858887
2010-10-15,12.094908714294434
2010-10-18,12.169905662536621
2010-10-19,12.01991081237793
2010-10-20,12.169905662536621
2010-10-21,12.060816764831543
2010-10-22,12.040363311767578
2010-10-25,11.999458312988281
2010-10-26,12.088088989257812
2010-10-27,12.013092994689941
2010-10-28,12.115360260009766
2010-10-29,12.176722526550293
2010-11-01,12.142630577087402
2010-11-02,12.25853443145752
2010-11-03,12.272170066833496
