Date,FTI
2012-02-14,36.75218200683594
2012-02-15,34.87255096435547
2012-02-16,35.098106384277344
2012-02-17,35.11860275268555
2012-02-21,34.954559326171875
2012-02-22,35.37150573730469
2012-02-23,35.610721588134766
2012-02-24,35.72692108154297
2012-02-27,35.14595031738281
2012-02-28,35.07075881958008
2012-02-29,34.46927261352539
2012-03-01,34.98874282836914
2012-03-02,34.59913635253906
2012-03-05,34.735836029052734
2012-03-06,34.353084564208984
2012-03-07,34.70166778564453
2012-03-08,35.20746612548828
2012-03-09,35.433013916015625
2012-03-12,34.71533966064453
2012-03-13,35.392005920410156
2012-03-14,34.89987564086914
2012-03-15,35.33733367919922
2012-03-16,35.77477264404297
2012-03-19,35.610721588134766
2012-03-20,34.87255096435547
2012-03-21,33.93614196777344
2012-03-22,32.986061096191406
2012-03-23,33.11592483520508
2012-03-26,33.8951301574707
2012-03-27,33.52604675292969
2012-03-28,33.11592483520508
2012-03-29,34.018157958984375
2012-03-30,34.462440490722656
2012-04-02,34.530799865722656
2012-04-03,34.544464111328125
2012-04-04,33.70375061035156
2012-04-05,33.320987701416016
2012-04-09,32.856197357177734
2012-04-10,32.042823791503906
2012-04-11,32.45976257324219
2012-04-12,32.97923278808594
2012-04-13,32.20686721801758
2012-04-16,31.701066970825195
2012-04-17,32.30255126953125
2012-04-18,32.69899368286133
2012-04-19,32.36407470703125
2012-04-20,32.39824295043945
2012-04-23,32.282047271728516
2012-04-24,32.54861831665039
2012-04-25,32.18635177612305
2012-04-26,32.07016372680664
2012-04-27,32.13167953491211
2012-04-30,32.12484359741211
2012-05-01,32.34356689453125
2012-05-02,32.282047271728516
2012-05-03,31.024394989013672
2012-05-04,30.265701293945312
2012-05-07,30.18368911743164
2012-05-08,30.47759437561035
2012-05-09,30.299882888793945
2012-05-10,30.573278427124023
2012-05-11,30.64847183227539
2012-05-14,29.438663482666016
2012-05-15,28.932863235473633
2012-05-16,28.789325714111328
2012-05-17,28.45441436767578
2012-05-18,28.263029098510742
2012-05-21,28.980709075927734
2012-05-22,28.59111213684082
2012-05-23,29.06273078918457
2012-05-24,28.700475692749023
2012-05-25,28.51592445373535
2012-05-29,28.73464584350586
2012-05-30,28.126325607299805
2012-05-31,27.504337310791016
2012-06-01,26.45857048034668
2012-06-04,26.438066482543945
2012-06-05,27.22409439086914
2012-06-06,27.893932342529297
2012-06-07,27.866594314575195
2012-06-08,27.798250198364258
2012-06-11,27.504337310791016
2012-06-12,28.18784523010254
2012-06-13,27.531675338745117
2012-06-14,28.351884841918945
2012-06-15,28.79616355895996
2012-06-18,28.146833419799805
2012-06-19,28.208349227905273
2012-06-20,27.873435974121094
2012-06-21,26.403888702392578
2012-06-22,26.656787872314453
2012-06-25,25.781898498535156
2012-06-26,25.75455665588379
2012-06-27,26.075803756713867
2012-06-28,25.822912216186523
2012-06-29,26.813995361328125
2012-07-02,27.44965362548828
2012-07-03,28.481752395629883
2012-07-05,28.051143646240234
2012-07-06,27.907604217529297
2012-07-09,27.9964656829834
2012-07-10,27.319786071777344
2012-07-11,27.61369514465332
2012-07-12,27.09423065185547
2012-07-13,27.559019088745117
2012-07-16,27.682048797607422
2012-07-17,28.11949348449707
2012-07-18,28.18784523010254
2012-07-19,29.014892578125
2012-07-20,28.76881980895996
2012-07-23,27.873435974121094
2012-07-24,27.524839401245117
2012-07-25,29.17209243774414
2012-07-26,31.072242736816406
2012-07-27,32.02232360839844
2012-07-30,31.632720947265625
2012-07-31,30.839853286743164
2012-08-01,31.482351303100586
2012-08-02,31.181602478027344
2012-08-03,32.26155471801758
2012-08-06,32.15218734741211
2012-08-07,32.45976257324219
