Date,DOV
2010-09-29,26.378870010375977
2010-09-30,26.54666519165039
2010-10-01,26.70429039001465
2010-10-04,26.500900268554688
2010-10-05,27.6195125579834
2010-10-06,27.446626663208008
2010-10-07,27.807636260986328
2010-10-08,27.731374740600586
2010-10-11,27.492399215698242
2010-10-12,27.482221603393555
2010-10-13,27.807636260986328
2010-10-14,27.47713851928711
2010-10-15,27.46697235107422
2010-10-18,27.24832534790039
2010-10-19,26.78563690185547
2010-10-20,27.35511016845703
2010-10-21,27.85848617553711
2010-10-22,27.039865493774414
2010-10-25,27.15172004699707
2010-10-26,27.03478240966797
2010-10-27,26.882234573364258
2010-10-28,26.907657623291016
2010-10-29,26.99918556213379
2010-11-01,27.212738037109375
2010-11-02,27.421218872070312
2010-11-03,27.482221603393555
2010-11-04,28.072036743164062
