Date,WABC
2010-09-29,33.9330940246582
2010-09-30,34.171382904052734
2010-10-01,34.165122985839844
2010-10-04,33.669681549072266
2010-10-05,34.296791076660156
2010-10-06,34.25917053222656
2010-10-07,34.2403564453125
2010-10-08,34.05851364135742
2010-10-11,33.9518928527832
2010-10-12,34.209014892578125
2010-10-13,34.46612548828125
2010-10-14,33.95816421508789
2010-10-15,33.62579345703125
2010-10-18,34.202735900878906
2010-10-19,33.663414001464844
2010-10-20,32.56596374511719
2010-10-21,32.78547286987305
2010-10-22,32.52834701538086
2010-10-25,32.058021545410156
2010-10-26,31.907503128051758
2010-10-27,31.8009033203125
2010-10-28,31.50615692138672
2010-10-29,31.368175506591797
2010-11-01,30.985647201538086
2010-11-02,31.41835594177246
2010-11-03,31.550048828125
2010-11-04,32.15010070800781
