Date,GIII
2010-10-05,16.114999771118164
2010-10-06,14.944999694824219
2010-10-07,14.899999618530273
2010-10-08,15.170000076293945
2010-10-11,15.470000267028809
2010-10-12,15.795000076293945
2010-10-13,15.255000114440918
2010-10-14,15.329999923706055
2010-10-15,14.420000076293945
2010-10-18,14.675000190734863
2010-10-19,14.145000457763672
2010-10-20,14.359999656677246
2010-10-21,14.270000457763672
2010-10-22,14.109999656677246
2010-10-25,14.390000343322754
2010-10-26,14.305000305175781
2010-10-27,13.789999961853027
2010-10-28,13.385000228881836
2010-10-29,13.199999809265137
2010-11-01,13.694999694824219
2010-11-02,14.274999618530273
2010-11-03,13.800000190734863
2010-11-04,13.864999771118164
2010-11-05,14.765000343322754
2010-11-08,14.430000305175781
2010-11-09,14.020000457763672
