Date,CON
2025-04-23,20.774948120117188
2025-04-24,21.14291000366211
2025-04-25,21.132965087890625
2025-04-28,21.490983963012695
2025-04-29,21.83905601501465
2025-04-30,21.630212783813477
2025-05-01,21.41142463684082
2025-05-02,21.66004753112793
2025-05-05,21.471092224121094
2025-05-06,21.580488204956055
2025-05-07,21.74955177307129
2025-05-08,20.993738174438477
2025-05-09,21.28213882446289
2025-05-12,21.50092887878418
2025-05-13,21.28213882446289
2025-05-14,21.25230598449707
2025-05-15,22.694318771362305
2025-05-16,22.59486961364746
2025-05-19,22.43575096130371
2025-05-20,22.478633880615234
2025-05-21,21.81045913696289
2025-05-22,21.351709365844727
2025-05-23,21.08244514465332
2025-05-27,21.48135757446289
2025-05-28,21.401573181152344
2025-05-29,21.531219482421875
2025-05-30,21.571109771728516
