Date,AZZ
2010-09-29,17.292009353637695
2010-09-30,17.155860900878906
2010-10-01,15.818304061889648
2010-10-04,15.433866500854492
2010-10-05,15.493926048278809
2010-10-06,15.309718132019043
2010-10-07,15.057424545288086
2010-10-08,15.313722610473633
2010-10-11,15.02538776397705
2010-10-12,14.921271324157715
2010-10-13,15.159137725830078
2010-10-14,15.16719913482666
2010-10-15,15.219616889953613
2010-10-18,15.392977714538574
2010-10-19,15.227669715881348
2010-10-20,14.977715492248535
2010-10-21,15.147046089172363
2010-10-22,15.147046089172363
2010-10-25,15.372817993164062
2010-10-26,15.074470520019531
2010-10-27,14.876916885375977
2010-10-28,14.90513801574707
2010-10-29,14.973684310913086
2010-11-01,14.872891426086426
2010-11-02,15.151068687438965
2010-11-03,15.368785858154297
