Date,OII
2017-07-24,24.47587776184082
2017-07-25,24.535480499267578
2017-07-26,24.694414138793945
2017-07-27,25.310283660888672
2017-07-28,25.489084243774414
2017-07-31,25.479150772094727
2017-08-01,25.17121696472168
2017-08-02,25.131481170654297
2017-08-03,25.43941879272461
2017-08-04,25.866554260253906
2017-08-07,25.340084075927734
2017-08-08,24.396411895751953
2017-08-09,24.13814353942871
2017-08-10,23.19447135925293
2017-08-11,23.035537719726562
2017-08-14,23.0057373046875
2017-08-15,22.558732986450195
2017-08-16,22.032264709472656
2017-08-17,22.09186363220215
2017-08-18,22.419666290283203
2017-08-21,22.439533233642578
2017-08-22,22.3700008392334
2017-08-23,22.329999923706055
2017-08-24,22.280000686645508
2017-08-25,23.309999465942383
2017-08-28,22.360000610351562
2017-08-29,22.600000381469727
2017-08-30,22.3799991607666
2017-08-31,22.549999237060547
2017-09-01,23.0
2017-09-05,23.8700008392334
2017-09-06,24.209999084472656
2017-09-07,24.43000030517578
2017-09-08,24.31999969482422
2017-09-11,24.969999313354492
2017-09-12,25.360000610351562
2017-09-13,25.780000686645508
2017-09-14,26.020000457763672
2017-09-15,25.799999237060547
2017-09-18,25.959999084472656
2017-09-19,26.100000381469727
2017-09-20,26.530000686645508
2017-09-21,25.799999237060547
2017-09-22,25.940000534057617
2017-09-25,26.6299991607666
2017-09-26,26.40999984741211
2017-09-27,26.530000686645508
2017-09-28,26.549999237060547
2017-09-29,26.270000457763672
2017-10-02,25.84000015258789
2017-10-03,25.43000030517578
2017-10-04,25.450000762939453
2017-10-05,25.469999313354492
2017-10-06,25.260000228881836
2017-10-09,25.489999771118164
2017-10-10,25.31999969482422
2017-10-11,25.420000076293945
2017-10-12,25.34000015258789
2017-10-13,25.489999771118164
2017-10-16,25.469999313354492
2017-10-17,25.030000686645508
2017-10-18,24.8700008392334
2017-10-19,24.8700008392334
2017-10-20,24.809999465942383
2017-10-23,24.579999923706055
2017-10-24,24.3700008392334
2017-10-25,23.600000381469727
2017-10-26,19.34000015258789
2017-10-27,19.040000915527344
2017-10-30,19.709999084472656
2017-10-31,20.219999313354492
2017-11-01,20.149999618530273
2017-11-02,20.200000762939453
2017-11-03,20.799999237060547
2017-11-06,22.040000915527344
2017-11-07,21.600000381469727
2017-11-08,21.350000381469727
2017-11-09,21.34000015258789
2017-11-10,20.68000030517578
2017-11-13,20.200000762939453
2017-11-14,19.600000381469727
2017-11-15,19.440000534057617
2017-11-16,18.700000762939453
2017-11-17,19.079999923706055
2017-11-20,18.479999542236328
2017-11-21,18.520000457763672
2017-11-22,18.809999465942383
2017-11-24,19.0
2017-11-27,18.790000915527344
2017-11-28,18.90999984741211
2017-11-29,19.290000915527344
2017-11-30,19.540000915527344
2017-12-01,20.0
2017-12-04,20.139999389648438
2017-12-05,19.270000457763672
2017-12-06,18.280000686645508
2017-12-07,18.43000030517578
2017-12-08,18.84000015258789
2017-12-11,19.309999465942383
2017-12-12,19.260000228881836
2017-12-13,18.3799991607666
2017-12-14,18.59000015258789
2017-12-15,18.420000076293945
2017-12-18,19.399999618530273
2017-12-19,19.3700008392334
2017-12-20,20.06999969482422
2017-12-21,20.549999237060547
2017-12-22,20.5
2017-12-26,20.850000381469727
2017-12-27,20.610000610351562
2017-12-28,20.829999923706055
2017-12-29,21.139999389648438
2018-01-02,21.68000030517578
2018-01-03,22.530000686645508
2018-01-04,23.040000915527344
2018-01-05,23.149999618530273
2018-01-08,23.450000762939453
2018-01-09,22.969999313354492
2018-01-10,22.549999237060547
2018-01-11,23.059999465942383
2018-01-12,22.440000534057617
2018-01-16,22.1299991607666
2018-01-17,22.030000686645508
2018-01-18,21.81999969482422
2018-01-19,22.149999618530273
2018-01-22,22.6299991607666
2018-01-23,22.68000030517578
2018-01-24,22.290000915527344
2018-01-25,21.709999084472656
2018-01-26,21.829999923706055
2018-01-29,21.030000686645508
2018-01-30,20.700000762939453
2018-01-31,20.68000030517578
2018-02-01,20.889999389648438
2018-02-02,20.40999984741211
2018-02-05,19.719999313354492
2018-02-06,20.100000381469727
2018-02-07,19.31999969482422
2018-02-08,18.459999084472656
2018-02-09,17.860000610351562
2018-02-12,18.350000381469727
2018-02-13,17.899999618530273
2018-02-14,18.25
2018-02-15,17.8700008392334
2018-02-16,18.450000762939453
2018-02-20,18.799999237060547
2018-02-21,18.709999084472656
2018-02-22,19.0
2018-02-23,19.920000076293945
