Date,AGL
2022-01-18,17.829999923706055
2022-01-19,16.899999618530273
2022-01-20,17.059999465942383
2022-01-21,16.31999969482422
2022-01-24,17.059999465942383
2022-01-25,16.770000457763672
2022-01-26,15.670000076293945
2022-01-27,15.010000228881836
2022-01-28,15.329999923706055
2022-01-31,16.579999923706055
2022-02-01,17.06999969482422
2022-02-02,16.649999618530273
2022-02-03,16.739999771118164
2022-02-04,17.899999618530273
2022-02-07,18.790000915527344
2022-02-08,19.25
2022-02-09,20.579999923706055
2022-02-10,21.56999969482422
2022-02-11,21.510000228881836
2022-02-14,20.799999237060547
2022-02-15,21.8700008392334
2022-02-16,21.899999618530273
2022-02-17,20.170000076293945
2022-02-18,19.579999923706055
2022-02-22,18.979999542236328
2022-02-23,17.790000915527344
2022-02-24,19.200000762939453
