Date,AXS
2010-09-29,21.846174240112305
2010-09-30,21.83954429626465
2010-10-01,21.866069793701172
2010-10-04,21.766620635986328
2010-10-05,22.316911697387695
2010-10-06,21.912471771240234
2010-10-07,22.171051025390625
2010-10-08,22.24398422241211
2010-10-11,22.16441535949707
2010-10-12,22.621898651123047
2010-10-13,22.74124526977539
2010-10-14,22.422990798950195
2010-10-15,22.30365753173828
2010-10-18,22.416358947753906
2010-10-19,22.24398422241211
2010-10-20,22.674942016601562
2010-10-21,22.88046646118164
2010-10-22,22.84732437133789
2010-10-25,22.979921340942383
2010-10-26,23.0528507232666
2010-10-27,22.926883697509766
2010-10-28,22.76112937927246
2010-10-29,22.575483322143555
2010-11-01,22.648422241210938
2010-11-02,23.132413864135742
2010-11-03,23.019704818725586
2010-11-04,23.61641502380371
