Date,LDOS
2010-09-29,19.8228759765625
2010-09-30,19.94769859313965
2010-10-01,20.010112762451172
2010-10-04,19.548248291015625
2010-10-05,19.960186004638672
2010-10-06,19.897762298583984
2010-10-07,19.84783935546875
2010-10-08,19.8228759765625
2010-10-11,20.02259635925293
2010-10-12,20.010112762451172
2010-10-13,19.860319137573242
2010-10-14,19.860319137573242
2010-10-15,20.07253074645996
2010-10-18,20.06004524230957
2010-10-19,19.685562133789062
2010-10-20,19.67307472229004
2010-10-21,19.810388565063477
2010-10-22,19.67307472229004
2010-10-25,19.585704803466797
2010-10-26,19.548248291015625
2010-10-27,19.123825073242188
2010-10-28,19.435894012451172
2010-10-29,19.398452758789062
2010-11-01,19.660594940185547
2010-11-02,19.872802734375
2010-11-03,19.860319137573242
2010-11-04,20.02259635925293
