Date,FBIZ
2017-01-05,18.694786071777344
2017-01-06,18.631357192993164
2017-01-09,18.67892837524414
2017-01-10,19.178409576416016
2017-01-11,19.091196060180664
2017-01-12,19.424184799194336
2017-01-13,19.424184799194336
2017-01-17,19.289403915405273
2017-01-18,19.210119247436523
2017-01-19,19.003986358642578
2017-01-20,19.12291145324707
2017-01-23,19.11497688293457
2017-01-24,19.194265365600586
2017-01-25,19.471755981445312
2017-01-26,19.313188552856445
2017-01-27,20.08222770690918
2017-01-30,19.551036834716797
2017-01-31,19.210119247436523
2017-02-01,19.305259704589844
2017-02-02,19.05948829650879
2017-02-03,19.38454246520996
2017-02-06,19.38454246520996
2017-02-07,19.313188552856445
2017-02-08,19.39289665222168
2017-02-09,19.639989852905273
2017-02-10,20.16606330871582
2017-02-13,20.014616012573242
2017-02-14,20.09432601928711
2017-02-15,20.181995391845703
2017-02-16,20.34141731262207
2017-02-17,20.48489761352539
2017-02-21,20.500831604003906
2017-02-22,20.81966209411621
2017-02-23,20.94719886779785
2017-02-24,20.43707275390625
2017-02-27,20.38924217224121
2017-02-28,20.102296829223633
2017-03-01,20.468948364257812
2017-03-02,19.91098976135254
2017-03-03,19.87114715576172
2017-03-06,19.815349578857422
2017-03-07,19.982736587524414
2017-03-08,20.038532257080078
2017-03-09,20.134178161621094
2017-03-10,20.102296829223633
2017-03-13,20.126205444335938
2017-03-14,20.16606330871582
2017-03-15,20.150127410888672
2017-03-16,20.30156707763672
2017-03-17,20.548662185668945
2017-03-20,20.564598083496094
2017-03-21,19.671873092651367
2017-03-22,19.472606658935547
2017-03-23,19.66390037536621
2017-03-24,19.759552001953125
2017-03-27,19.79940414428711
2017-03-28,20.237804412841797
2017-03-29,20.468948364257812
2017-03-30,20.68416404724121
2017-03-31,20.692134857177734
2017-04-03,20.644309997558594
2017-04-04,20.6124210357666
2017-04-05,20.34141731262207
2017-04-06,20.46097755432129
2017-04-07,20.34939193725586
2017-04-10,20.652278900146484
2017-04-11,20.676193237304688
2017-04-12,20.365327835083008
2017-04-13,20.229825973510742
2017-04-17,20.43707275390625
2017-04-18,20.700101852416992
2017-04-19,20.620393753051758
2017-04-20,20.763866424560547
2017-04-21,20.995019912719727
2017-04-24,21.505155563354492
2017-04-25,21.6884822845459
2017-04-26,22.445703506469727
2017-04-27,22.565263748168945
2017-04-28,21.17835235595703
2017-05-01,20.763866424560547
2017-05-02,20.03055763244629
2017-05-03,19.918970108032227
2017-05-04,19.93490219116211
2017-05-05,19.84723472595215
2017-05-08,19.69578742980957
2017-05-09,19.703800201416016
2017-05-10,19.62366485595703
2017-05-11,19.030710220336914
2017-05-12,19.19898223876953
2017-05-15,19.223020553588867
2017-05-16,19.142892837524414
2017-05-17,18.453781127929688
2017-05-18,18.557947158813477
2017-05-19,18.565969467163086
2017-05-22,18.69416618347168
2017-05-23,18.678144454956055
2017-05-24,18.573972702026367
2017-05-25,18.606021881103516
2017-05-26,18.485836029052734
2017-05-30,18.437761306762695
2017-05-31,18.309553146362305
2017-06-01,18.485836029052734
2017-06-02,18.46980857849121
2017-06-05,18.485836029052734
2017-06-06,18.349607467651367
2017-06-07,18.581989288330078
2017-06-08,19.142892837524414
2017-06-09,20.024314880371094
2017-06-12,19.59161949157715
2017-06-13,19.743858337402344
2017-06-14,19.84803009033203
2017-06-15,19.55155372619629
2017-06-16,19.174945831298828
2017-06-19,18.870454788208008
2017-06-20,18.614038467407227
2017-06-21,18.277498245239258
2017-06-22,18.20537567138672
2017-06-23,18.405698776245117
2017-06-26,18.389680862426758
2017-06-27,18.429744720458984
2017-06-28,18.46179962158203
2017-06-29,18.702180862426758
2017-06-30,18.493846893310547
2017-07-03,18.830387115478516
2017-07-05,18.79833221435547
2017-07-06,18.822378158569336
2017-07-07,18.910518646240234
2017-07-10,18.870454788208008
2017-07-11,18.622053146362305
2017-07-12,18.533906936645508
2017-07-13,18.670133590698242
2017-07-14,18.39769172668457
2017-07-17,18.333587646484375
2017-07-18,18.20537567138672
2017-07-19,18.333587646484375
2017-07-20,18.389680862426758
2017-07-21,18.269485473632812
2017-07-24,18.085186004638672
2017-07-25,18.253454208374023
2017-07-26,18.069164276123047
2017-07-27,18.045122146606445
2017-07-28,17.195751190185547
2017-07-31,17.035493850708008
2017-08-01,17.155685424804688
2017-08-02,17.059534072875977
2017-08-03,17.156278610229492
2017-08-04,17.075653076171875
2017-08-07,17.099838256835938
2017-08-08,17.17240333557129
2017-08-09,16.962787628173828
2017-08-10,17.067590713500977
2017-08-11,16.84185028076172
2017-08-14,17.156278610229492
2017-08-15,17.156278610229492
2017-08-16,17.212709426879883
2017-08-17,17.02728271484375
2017-08-18,17.02728271484375
2017-08-21,17.02728271484375
2017-08-22,17.05146598815918
2017-08-23,16.84991455078125
2017-08-24,16.986968994140625
2017-08-25,17.05146598815918
2017-08-28,16.9466609954834
2017-08-29,17.02728271484375
2017-08-30,17.043397903442383
2017-08-31,17.180463790893555
2017-09-01,17.285266876220703
2017-09-05,17.293338775634766
2017-09-06,17.148216247558594
2017-09-07,16.761228561401367
2017-09-08,16.857975006103516
2017-09-11,17.285266876220703
2017-09-12,17.244958877563477
2017-09-13,17.091779708862305
2017-09-14,17.164342880249023
2017-09-15,17.156278610229492
2017-09-18,17.317520141601562
