Date,RIGL
2017-02-14,23.700000762939453
2017-02-15,24.5
2017-02-16,23.899999618530273
2017-02-17,23.899999618530273
2017-02-21,23.600000381469727
2017-02-22,23.5
2017-02-23,23.200000762939453
2017-02-24,23.0
2017-02-27,25.200000762939453
2017-02-28,24.5
2017-03-01,28.5
2017-03-02,28.0
2017-03-03,28.600000381469727
2017-03-06,26.600000381469727
2017-03-07,26.100000381469727
2017-03-08,27.299999237060547
2017-03-09,27.100000381469727
2017-03-10,26.799999237060547
2017-03-13,28.799999237060547
2017-03-14,27.700000762939453
2017-03-15,29.0
2017-03-16,28.799999237060547
2017-03-17,28.200000762939453
2017-03-20,29.600000381469727
2017-03-21,27.200000762939453
2017-03-22,27.700000762939453
2017-03-23,30.5
2017-03-24,31.299999237060547
2017-03-27,34.29999923706055
2017-03-28,33.79999923706055
2017-03-29,33.29999923706055
2017-03-30,32.400001525878906
2017-03-31,33.099998474121094
2017-04-03,32.5
2017-04-04,31.5
2017-04-05,31.0
2017-04-06,30.399999618530273
2017-04-07,30.899999618530273
2017-04-10,31.600000381469727
2017-04-11,31.5
2017-04-12,31.100000381469727
2017-04-13,31.600000381469727
2017-04-17,31.700000762939453
2017-04-18,32.900001525878906
2017-04-19,30.5
2017-04-20,30.299999237060547
2017-04-21,28.700000762939453
2017-04-24,29.5
2017-04-25,30.5
2017-04-26,29.799999237060547
2017-04-27,29.799999237060547
2017-04-28,29.899999618530273
2017-05-01,29.299999237060547
2017-05-02,28.399999618530273
2017-05-03,26.399999618530273
2017-05-04,26.799999237060547
2017-05-05,26.600000381469727
2017-05-08,26.0
2017-05-09,25.899999618530273
2017-05-10,26.600000381469727
2017-05-11,26.100000381469727
2017-05-12,26.799999237060547
2017-05-15,26.5
2017-05-16,26.0
2017-05-17,25.399999618530273
2017-05-18,25.399999618530273
2017-05-19,25.200000762939453
2017-05-22,24.899999618530273
2017-05-23,25.200000762939453
2017-05-24,24.799999237060547
2017-05-25,24.200000762939453
2017-05-26,23.899999618530273
2017-05-30,23.799999237060547
2017-05-31,22.899999618530273
2017-06-01,23.700000762939453
2017-06-02,24.200000762939453
2017-06-05,23.600000381469727
2017-06-06,23.5
2017-06-07,23.5
2017-06-08,24.0
2017-06-09,23.700000762939453
2017-06-12,24.399999618530273
2017-06-13,25.100000381469727
2017-06-14,26.100000381469727
2017-06-15,26.200000762939453
2017-06-16,25.0
2017-06-19,27.799999237060547
2017-06-20,27.600000381469727
2017-06-21,27.100000381469727
2017-06-22,27.799999237060547
2017-06-23,28.0
2017-06-26,28.5
2017-06-27,28.399999618530273
2017-06-28,28.100000381469727
2017-06-29,27.899999618530273
2017-06-30,27.299999237060547
2017-07-03,27.799999237060547
2017-07-05,27.299999237060547
2017-07-06,26.899999618530273
2017-07-07,26.600000381469727
2017-07-10,24.899999618530273
2017-07-11,25.399999618530273
2017-07-12,25.5
2017-07-13,25.299999237060547
2017-07-14,24.700000762939453
2017-07-17,26.200000762939453
2017-07-18,26.0
2017-07-19,25.600000381469727
2017-07-20,25.5
2017-07-21,26.100000381469727
2017-07-24,26.100000381469727
2017-07-25,25.200000762939453
2017-07-26,25.0
2017-07-27,23.5
2017-07-28,23.299999237060547
2017-07-31,23.700000762939453
2017-08-01,23.299999237060547
2017-08-02,23.399999618530273
2017-08-03,24.0
2017-08-04,24.100000381469727
2017-08-07,24.100000381469727
2017-08-08,22.5
2017-08-09,22.200000762939453
2017-08-10,21.899999618530273
2017-08-11,21.799999237060547
2017-08-14,23.5
2017-08-15,22.700000762939453
2017-08-16,22.700000762939453
2017-08-17,22.100000381469727
2017-08-18,22.0
2017-08-21,22.299999237060547
2017-08-22,22.700000762939453
2017-08-23,23.100000381469727
2017-08-24,23.700000762939453
2017-08-25,22.899999618530273
2017-08-28,23.600000381469727
2017-08-29,23.700000762939453
2017-08-30,24.600000381469727
2017-08-31,25.5
2017-09-01,25.700000762939453
2017-09-05,25.0
2017-09-06,24.299999237060547
2017-09-07,25.0
2017-09-08,25.299999237060547
2017-09-11,25.399999618530273
2017-09-12,25.0
2017-09-13,24.399999618530273
2017-09-14,24.200000762939453
2017-09-15,24.700000762939453
2017-09-18,25.0
2017-09-19,24.700000762939453
2017-09-20,23.899999618530273
2017-09-21,23.799999237060547
2017-09-22,23.700000762939453
2017-09-25,23.600000381469727
2017-09-26,23.200000762939453
2017-09-27,23.700000762939453
2017-09-28,23.200000762939453
2017-09-29,25.399999618530273
2017-10-02,33.70000076293945
2017-10-03,32.29999923706055
2017-10-04,36.20000076293945
2017-10-05,39.0
2017-10-06,38.79999923706055
2017-10-09,39.400001525878906
2017-10-10,39.0
2017-10-11,39.29999923706055
2017-10-12,38.400001525878906
2017-10-13,37.70000076293945
2017-10-16,38.70000076293945
2017-10-17,42.29999923706055
2017-10-18,40.20000076293945
2017-10-19,39.70000076293945
2017-10-20,38.900001525878906
2017-10-23,37.599998474121094
2017-10-24,37.79999923706055
2017-10-25,37.599998474121094
2017-10-26,38.0
2017-10-27,38.20000076293945
2017-10-30,38.0
2017-10-31,37.5
2017-11-01,37.29999923706055
2017-11-02,38.900001525878906
2017-11-03,38.79999923706055
2017-11-06,37.900001525878906
2017-11-07,38.400001525878906
2017-11-08,38.29999923706055
2017-11-09,37.400001525878906
2017-11-10,38.5
2017-11-13,37.20000076293945
2017-11-14,37.400001525878906
2017-11-15,37.79999923706055
2017-11-16,38.900001525878906
2017-11-17,38.20000076293945
2017-11-20,38.400001525878906
2017-11-21,39.400001525878906
2017-11-22,42.5
2017-11-24,42.5
2017-11-27,43.0
2017-11-28,42.099998474121094
2017-11-29,40.400001525878906
2017-11-30,41.599998474121094
2017-12-01,40.900001525878906
