Date,LKFN
2010-09-28,8.3966064453125
2010-09-29,8.602737426757812
2010-09-30,8.547768592834473
2010-10-01,8.534028053283691
2010-10-04,8.479055404663086
2010-10-05,8.680611610412598
2010-10-06,8.72183895111084
2010-10-07,8.630224227905273
2010-10-08,8.804293632507324
2010-10-11,8.726423263549805
2010-10-12,8.676034927368164
2010-10-13,8.698934555053711
2010-10-14,8.813453674316406
2010-10-15,8.689775466918945
2010-10-18,8.886748313903809
2010-10-19,8.753904342651367
2010-10-20,8.785967826843262
2010-10-21,8.80675220489502
2010-10-22,8.829843521118164
2010-10-25,8.917586326599121
2010-10-26,9.000714302062988
2010-10-27,8.991476058959961
2010-10-28,8.945294380187988
2010-10-29,8.769806861877441
2010-11-01,8.760575294494629
2010-11-02,9.00533390045166
2010-11-03,9.00533390045166
