Date,FFIC
2010-09-27,6.0795440673828125
2010-09-28,6.111738204956055
2010-09-29,6.283448219299316
2010-09-30,6.2029571533203125
2010-10-01,6.3639326095581055
2010-10-04,6.417593479156494
2010-10-05,6.6053972244262695
2010-10-06,6.626863956451416
2010-10-07,6.535643577575684
2010-10-08,6.664422512054443
2010-10-11,6.6053972244262695
2010-10-12,6.57857084274292
2010-10-13,6.793203353881836
2010-10-14,6.803935527801514
2010-10-15,6.739548206329346
2010-10-18,6.78783655166626
2010-10-19,6.755642414093018
2010-10-20,6.798570156097412
2010-10-21,6.970277786254883
2010-10-22,7.072230815887451
2010-10-25,7.147353172302246
2010-10-26,7.088326930999756
2010-10-27,7.066864490509033
2010-10-28,7.034669399261475
2010-10-29,7.056132793426514
2010-11-01,6.964915752410889
