Date,NKTX
2021-04-13,35.540000915527344
2021-04-14,35.97999954223633
2021-04-15,36.68000030517578
2021-04-16,34.869998931884766
2021-04-19,32.5099983215332
2021-04-20,31.25
2021-04-21,33.90999984741211
2021-04-22,35.779998779296875
2021-04-23,32.79999923706055
2021-04-26,33.41999816894531
2021-04-27,33.040000915527344
2021-04-28,32.849998474121094
2021-04-29,32.400001525878906
2021-04-30,31.850000381469727
2021-05-03,30.760000228881836
2021-05-04,28.700000762939453
2021-05-05,27.3700008392334
2021-05-06,25.920000076293945
2021-05-07,27.65999984741211
2021-05-10,24.510000228881836
2021-05-11,25.420000076293945
2021-05-12,25.1299991607666
2021-05-13,23.940000534057617
2021-05-14,27.959999084472656
2021-05-17,28.5
2021-05-18,29.0
2021-05-19,26.739999771118164
