Date,NUVL
2022-04-28,11.289999961853027
2022-04-29,10.289999961853027
2022-05-02,10.300000190734863
2022-05-03,10.510000228881836
2022-05-04,11.220000267028809
2022-05-05,10.529999732971191
2022-05-06,10.479999542236328
2022-05-09,8.729999542236328
2022-05-10,9.229999542236328
2022-05-11,8.0600004196167
2022-05-12,8.329999923706055
2022-05-13,8.0
2022-05-16,7.400000095367432
2022-05-17,8.649999618530273
2022-05-18,7.519999980926514
2022-05-19,7.550000190734863
2022-05-20,8.0600004196167
2022-05-23,8.390000343322754
2022-05-24,8.180000305175781
2022-05-25,8.550000190734863
2022-05-26,9.170000076293945
2022-05-27,9.4399995803833
2022-05-31,8.859999656677246
2022-06-01,8.609999656677246
2022-06-02,8.3100004196167
2022-06-03,9.1899995803833
2022-06-06,9.640000343322754
2022-06-07,9.9399995803833
2022-06-08,9.600000381469727
2022-06-09,9.8100004196167
2022-06-10,9.359999656677246
2022-06-13,9.029999732971191
2022-06-14,9.579999923706055
2022-06-15,9.640000343322754
2022-06-16,9.359999656677246
2022-06-17,10.020000457763672
2022-06-21,11.039999961853027
2022-06-22,12.010000228881836
2022-06-23,12.770000457763672
2022-06-24,13.59000015258789
2022-06-27,13.510000228881836
2022-06-28,13.34000015258789
2022-06-29,13.949999809265137
2022-06-30,13.5600004196167
2022-07-01,13.550000190734863
2022-07-05,14.970000267028809
2022-07-06,16.530000686645508
2022-07-07,17.68000030517578
2022-07-08,18.200000762939453
2022-07-11,17.239999771118164
2022-07-12,16.8700008392334
2022-07-13,17.780000686645508
2022-07-14,17.8799991607666
2022-07-15,16.690000534057617
2022-07-18,16.440000534057617
2022-07-19,17.290000915527344
2022-07-20,15.920000076293945
2022-07-21,16.420000076293945
2022-07-22,15.25
2022-07-25,15.850000381469727
2022-07-26,16.829999923706055
2022-07-27,17.079999923706055
2022-07-28,17.010000228881836
2022-07-29,14.859999656677246
2022-08-01,14.399999618530273
2022-08-02,14.199999809265137
2022-08-03,14.239999771118164
2022-08-04,15.880000114440918
2022-08-05,16.09000015258789
2022-08-08,16.610000610351562
2022-08-09,15.550000190734863
2022-08-10,17.469999313354492
2022-08-11,16.25
2022-08-12,16.760000228881836
2022-08-15,16.989999771118164
2022-08-16,16.65999984741211
2022-08-17,16.290000915527344
2022-08-18,16.40999984741211
2022-08-19,16.040000915527344
2022-08-22,15.829999923706055
2022-08-23,15.9399995803833
2022-08-24,17.469999313354492
2022-08-25,16.8799991607666
2022-08-26,15.739999771118164
2022-08-29,15.9399995803833
2022-08-30,15.84000015258789
2022-08-31,16.8799991607666
2022-09-01,16.979999542236328
2022-09-02,16.75
2022-09-06,15.039999961853027
2022-09-07,17.68000030517578
2022-09-08,17.15999984741211
2022-09-09,17.59000015258789
2022-09-12,18.829999923706055
2022-09-13,17.65999984741211
2022-09-14,18.559999465942383
2022-09-15,17.950000762939453
2022-09-16,17.68000030517578
2022-09-19,17.260000228881836
2022-09-20,17.84000015258789
2022-09-21,16.8700008392334
2022-09-22,16.5
2022-09-23,16.770000457763672
2022-09-26,16.799999237060547
2022-09-27,17.440000534057617
2022-09-28,19.700000762939453
2022-09-29,19.920000076293945
2022-09-30,19.440000534057617
2022-10-03,19.420000076293945
2022-10-04,19.479999542236328
2022-10-05,19.270000457763672
2022-10-06,19.09000015258789
2022-10-07,18.579999923706055
2022-10-10,18.68000030517578
2022-10-11,19.639999389648438
2022-10-12,20.1200008392334
2022-10-13,21.600000381469727
2022-10-14,20.729999542236328
2022-10-17,22.18000030517578
2022-10-18,21.31999969482422
2022-10-19,19.84000015258789
2022-10-20,18.459999084472656
2022-10-21,19.889999389648438
2022-10-24,19.829999923706055
2022-10-25,19.479999542236328
2022-10-26,19.09000015258789
2022-10-27,22.0
2022-10-28,35.34000015258789
2022-10-31,35.709999084472656
2022-11-01,33.70000076293945
2022-11-02,31.139999389648438
2022-11-03,29.260000228881836
2022-11-04,30.760000228881836
2022-11-07,31.059999465942383
2022-11-08,32.36000061035156
2022-11-09,31.68000030517578
2022-11-10,30.809999465942383
2022-11-11,32.0
2022-11-14,30.760000228881836
2022-11-15,32.61000061035156
2022-11-16,32.400001525878906
2022-11-17,31.1200008392334
2022-11-18,30.850000381469727
2022-11-21,32.0
2022-11-22,30.959999084472656
2022-11-23,31.950000762939453
2022-11-25,32.25
2022-11-28,30.989999771118164
2022-11-29,31.639999389648438
2022-11-30,32.880001068115234
2022-12-01,34.5
2022-12-02,36.029998779296875
2022-12-05,34.15999984741211
2022-12-06,32.02000045776367
2022-12-07,30.969999313354492
2022-12-08,31.559999465942383
2022-12-09,31.010000228881836
2022-12-12,30.559999465942383
2022-12-13,31.1200008392334
2022-12-14,32.349998474121094
2022-12-15,29.729999542236328
2022-12-16,29.56999969482422
2022-12-19,28.459999084472656
2022-12-20,29.420000076293945
2022-12-21,29.3799991607666
2022-12-22,29.170000076293945
2022-12-23,28.440000534057617
2022-12-27,27.479999542236328
2022-12-28,28.43000030517578
2022-12-29,29.899999618530273
2022-12-30,29.780000686645508
2023-01-03,28.969999313354492
2023-01-04,28.520000457763672
2023-01-05,27.549999237060547
2023-01-06,27.850000381469727
2023-01-09,26.56999969482422
2023-01-10,26.770000457763672
2023-01-11,29.510000228881836
2023-01-12,32.09000015258789
2023-01-13,32.43000030517578
2023-01-17,33.29999923706055
2023-01-18,32.9900016784668
2023-01-19,32.72999954223633
2023-01-20,30.8799991607666
2023-01-23,30.8700008392334
2023-01-24,32.689998626708984
2023-01-25,33.52000045776367
2023-01-26,33.08000183105469
2023-01-27,32.459999084472656
2023-01-30,30.739999771118164
2023-01-31,30.25
2023-02-01,29.010000228881836
2023-02-02,29.600000381469727
2023-02-03,30.06999969482422
2023-02-06,27.920000076293945
2023-02-07,28.5
2023-02-08,27.65999984741211
2023-02-09,27.75
2023-02-10,28.670000076293945
2023-02-13,31.459999084472656
2023-02-14,30.479999542236328
2023-02-15,30.270000457763672
2023-02-16,30.760000228881836
2023-02-17,32.529998779296875
2023-02-21,31.360000610351562
2023-02-22,31.600000381469727
2023-02-23,30.469999313354492
2023-02-24,30.09000015258789
2023-02-27,30.65999984741211
2023-02-28,30.290000915527344
2023-03-01,29.329999923706055
2023-03-02,29.1299991607666
2023-03-03,29.950000762939453
2023-03-06,27.8700008392334
2023-03-07,29.399999618530273
2023-03-08,29.06999969482422
2023-03-09,27.469999313354492
2023-03-10,26.5
2023-03-13,28.25
2023-03-14,29.959999084472656
2023-03-15,28.09000015258789
2023-03-16,29.6200008392334
2023-03-17,30.40999984741211
2023-03-20,29.93000030517578
2023-03-21,29.40999984741211
2023-03-22,27.8700008392334
2023-03-23,27.8700008392334
2023-03-24,27.6200008392334
2023-03-27,28.06999969482422
2023-03-28,26.040000915527344
2023-03-29,27.329999923706055
2023-03-30,25.420000076293945
