Date,INTC
2010-09-29,12.742237091064453
2010-09-30,12.715747833251953
2010-10-01,12.795221328735352
2010-10-04,12.497199058532715
2010-10-05,12.682633399963379
2010-10-06,12.78860092163086
2010-10-07,12.8482084274292
2010-10-08,12.9276762008667
2010-10-11,12.954170227050781
2010-10-12,13.093249320983887
2010-10-13,12.742237091064453
2010-10-14,12.795221328735352
2010-10-15,12.795221328735352
2010-10-18,12.709126472473145
2010-10-19,12.722371101379395
2010-10-20,13.007148742675781
2010-10-21,13.086623191833496
2010-10-22,13.139607429504395
2010-10-25,13.159478187561035
2010-10-26,13.272058486938477
2010-10-27,13.371407508850098
2010-10-28,13.556842803955078
2010-10-29,13.278684616088867
2010-11-01,13.62307071685791
2010-11-02,13.470745086669922
2010-11-03,13.66965103149414
2010-11-04,13.996705055236816
