Date,CLMT
2010-09-29,11.723668098449707
2010-09-30,11.82561206817627
2010-10-01,11.945549964904785
2010-10-04,12.113456726074219
2010-10-05,12.293362617492676
2010-10-06,12.21540355682373
2010-10-07,12.245386123657227
2010-10-08,12.317349433898926
2010-10-11,12.203407287597656
2010-10-12,12.317349433898926
2010-10-13,12.551220893859863
2010-10-14,12.539227485656738
2010-10-15,12.731122016906738
2010-10-18,12.731122016906738
2010-10-19,12.749112129211426
2010-10-20,12.9769926071167
2010-10-21,12.863052368164062
2010-10-22,12.893034934997559
2010-10-25,12.982985496520996
2010-10-26,13.132906913757324
2010-10-27,13.162891387939453
2010-10-28,13.306812286376953
2010-10-29,13.343555450439453
2010-11-01,12.467865943908691
2010-11-02,12.351516723632812
2010-11-03,12.7924222946167
