Date,SF
2010-09-29,18.394628524780273
2010-09-30,18.28403091430664
2010-10-01,18.40253257751465
2010-10-04,17.892995834350586
2010-10-05,18.64347267150879
2010-10-06,18.64347267150879
2010-10-07,17.857450485229492
2010-10-08,17.829797744750977
2010-10-11,17.71525001525879
2010-10-12,17.620450973510742
2010-10-13,18.16158676147461
2010-10-14,18.29982566833496
2010-10-15,18.42622947692871
2010-10-18,18.663225173950195
2010-10-19,18.351181030273438
2010-10-20,18.406484603881836
2010-10-21,18.46573829650879
2010-10-22,18.560527801513672
2010-10-25,18.453880310058594
2010-10-26,18.410430908203125
2010-10-27,18.76197052001953
2010-10-28,18.485475540161133
2010-10-29,18.718517303466797
2010-11-01,18.51312828063965
2010-11-02,18.998964309692383
2010-11-03,19.15695571899414
2010-11-04,19.788942337036133
