Date,IEX
2010-09-29,28.5828914642334
2010-09-30,28.736644744873047
2010-10-01,29.044164657592773
2010-10-04,28.46148681640625
2010-10-05,29.473072052001953
2010-10-06,29.295021057128906
2010-10-07,29.18982696533203
2010-10-08,29.473072052001953
2010-10-11,29.529714584350586
2010-10-12,29.343585968017578
2010-10-13,29.82302474975586
2010-10-14,29.928672790527344
2010-10-15,29.701141357421875
2010-10-18,30.13182258605957
2010-10-19,28.872268676757812
2010-10-20,29.457345962524414
2010-10-21,29.636127471923828
2010-10-22,29.603628158569336
2010-10-25,29.831151962280273
2010-10-26,29.457345962524414
2010-10-27,29.359846115112305
2010-10-28,29.327333450317383
2010-10-29,29.319215774536133
2010-11-01,29.335464477539062
2010-11-02,29.961172103881836
2010-11-03,30.099319458007812
