Date,CSV
2010-09-22,4.111074447631836
2010-09-23,4.085592269897461
2010-09-24,4.128063201904297
2010-09-27,4.128063201904297
2010-09-28,4.162038803100586
2010-09-29,4.05161714553833
2010-09-30,4.255474090576172
2010-10-01,4.280953407287598
2010-10-04,4.246976852416992
2010-10-05,4.297940254211426
2010-10-06,4.323423862457275
2010-10-07,4.297940254211426
2010-10-08,4.246976852416992
2010-10-11,4.433844089508057
2010-10-12,4.391374588012695
2010-10-13,4.408362865447998
2010-10-14,4.433844089508057
2010-10-15,4.425351142883301
2010-10-18,4.246976852416992
2010-10-19,4.246976852416992
2010-10-20,4.408362865447998
2010-10-21,4.374387264251709
2010-10-22,4.425351142883301
2010-10-25,4.459323883056641
2010-10-26,4.425351142883301
2010-10-27,4.399868011474609
2010-10-28,4.544266700744629
