Date,VVX
2015-06-19,23.899999618530273
2015-06-22,24.639999389648438
2015-06-23,24.739999771118164
2015-06-24,25.350000381469727
2015-06-25,25.1200008392334
2015-06-26,25.209999084472656
2015-06-29,25.010000228881836
2015-06-30,24.8700008392334
2015-07-01,25.56999969482422
2015-07-02,24.420000076293945
2015-07-06,24.639999389648438
2015-07-07,23.860000610351562
2015-07-08,23.6299991607666
2015-07-09,24.110000610351562
2015-07-10,24.1299991607666
2015-07-13,24.200000762939453
2015-07-14,25.25
2015-07-15,25.18000030517578
2015-07-16,25.239999771118164
2015-07-17,24.18000030517578
2015-07-20,23.190000534057617
2015-07-21,24.649999618530273
2015-07-22,24.610000610351562
2015-07-23,24.540000915527344
2015-07-24,23.729999542236328
2015-07-27,22.93000030517578
2015-07-28,22.860000610351562
