Date,COP
2010-09-29,26.075193405151367
2010-09-30,26.107017517089844
2010-10-01,26.302494049072266
2010-10-04,26.02974510192871
2010-10-05,26.725261688232422
2010-10-06,27.13894271850586
2010-10-07,27.14349365234375
2010-10-08,27.0980167388916
2010-10-11,27.179838180541992
2010-10-12,27.0980167388916
2010-10-13,27.33441162109375
2010-10-14,27.42078399658203
2010-10-15,27.629899978637695
2010-10-18,27.848094940185547
2010-10-19,27.275318145751953
2010-10-20,27.85263442993164
2010-10-21,27.784442901611328
2010-10-22,28.03447914123535
2010-10-25,27.88446044921875
2010-10-26,27.89809226989746
2010-10-27,27.558656692504883
2010-10-28,27.32929801940918
2010-10-29,27.242158889770508
2010-11-01,27.04033660888672
2010-11-02,27.219228744506836
2010-11-03,27.251323699951172
2010-11-04,28.095340728759766
