Date,TMDX
2020-02-05,17.81999969482422
2020-02-06,17.440000534057617
2020-02-07,17.489999771118164
2020-02-10,18.059999465942383
2020-02-11,18.34000015258789
2020-02-12,18.829999923706055
2020-02-13,19.09000015258789
2020-02-14,19.190000534057617
2020-02-18,19.700000762939453
2020-02-19,20.06999969482422
2020-02-20,19.079999923706055
2020-02-21,18.510000228881836
2020-02-24,17.43000030517578
2020-02-25,16.93000030517578
2020-02-26,16.670000076293945
2020-02-27,16.139999389648438
2020-02-28,15.699999809265137
2020-03-02,14.960000038146973
2020-03-03,15.529999732971191
2020-03-04,16.059999465942383
2020-03-05,15.359999656677246
2020-03-06,15.510000228881836
2020-03-09,13.829999923706055
2020-03-10,14.680000305175781
2020-03-11,13.619999885559082
2020-03-12,11.9399995803833
2020-03-13,12.829999923706055
