Date,ATR
2010-09-29,36.60451126098633
2010-09-30,36.692893981933594
2010-10-01,36.37955856323242
2010-10-04,36.46794509887695
2010-10-05,37.31154251098633
2010-10-06,37.287437438964844
2010-10-07,37.08658218383789
2010-10-08,37.31154251098633
2010-10-11,37.55257797241211
2010-10-12,37.51239013671875
2010-10-13,37.81771469116211
2010-10-14,37.75343322753906
2010-10-15,37.568641662597656
2010-10-18,37.6248893737793
2010-10-19,37.26332473754883
2010-10-20,38.0748291015625
2010-10-21,36.15459442138672
2010-10-22,36.19476318359375
2010-10-25,36.355438232421875
2010-10-26,36.267086029052734
2010-10-27,36.29117965698242
2010-10-28,36.339378356933594
2010-10-29,36.05818557739258
2010-11-01,36.14692306518555
2010-11-02,36.227577209472656
2010-11-03,36.34858322143555
2010-11-04,37.28431701660156
