Date,NGNE
2018-01-08,234.1999969482422
2018-01-09,230.1999969482422
2018-01-10,230.8000030517578
2018-01-11,233.0
2018-01-12,230.1999969482422
2018-01-16,229.39999389648438
2018-01-17,231.1999969482422
2018-01-18,235.60000610351562
2018-01-19,235.0
2018-01-22,244.8000030517578
2018-01-23,247.0
2018-01-24,244.0
2018-01-25,244.0
2018-01-26,247.60000610351562
2018-01-29,262.20001220703125
2018-01-30,260.0
2018-01-31,258.6000061035156
2018-02-01,260.6000061035156
2018-02-02,267.6000061035156
2018-02-05,260.20001220703125
2018-02-06,267.79998779296875
2018-02-07,272.3999938964844
2018-02-08,268.0
2018-02-09,306.20001220703125
2018-02-12,299.6000061035156
2018-02-13,320.0
2018-02-14,325.0
2018-02-15,326.20001220703125
2018-02-16,292.3999938964844
2018-02-20,289.0
2018-02-21,300.3999938964844
2018-02-22,292.79998779296875
2018-02-23,302.3999938964844
2018-02-26,303.0
2018-02-27,282.6000061035156
2018-02-28,289.79998779296875
2018-03-01,284.20001220703125
2018-03-02,293.20001220703125
2018-03-05,297.79998779296875
2018-03-06,304.0
2018-03-07,317.20001220703125
2018-03-08,313.6000061035156
2018-03-09,331.0
2018-03-12,327.3999938964844
2018-03-13,299.20001220703125
2018-03-14,290.5
2018-03-15,291.3999938964844
2018-03-16,293.79998779296875
2018-03-19,288.3999938964844
2018-03-20,285.6000061035156
2018-03-21,288.79998779296875
2018-03-22,291.0
2018-03-23,311.0
2018-03-26,299.79998779296875
2018-03-27,289.79998779296875
2018-03-28,283.3999938964844
2018-03-29,281.6000061035156
2018-04-02,273.6000061035156
2018-04-03,273.3999938964844
2018-04-04,277.0
2018-04-05,278.20001220703125
2018-04-06,268.79998779296875
2018-04-09,271.20001220703125
2018-04-10,269.20001220703125
2018-04-11,269.3999938964844
2018-04-12,267.0
2018-04-13,259.0
2018-04-16,262.79998779296875
2018-04-17,268.3999938964844
2018-04-18,265.79998779296875
2018-04-19,252.60000610351562
2018-04-20,251.8000030517578
2018-04-23,248.39999389648438
2018-04-24,251.60000610351562
2018-04-25,259.20001220703125
