Date,CIVI
2018-05-01,21.302692413330078
2018-05-02,21.992351531982422
2018-05-03,21.226064682006836
2018-05-04,21.644039154052734
2018-05-07,21.637073516845703
2018-05-08,22.013248443603516
2018-05-09,23.260202407836914
2018-05-10,23.267166137695312
2018-05-11,22.946720123291016
2018-05-14,23.148738861083984
2018-05-15,23.204471588134766
2018-05-16,23.18356704711914
2018-05-17,25.04355239868164
2018-05-18,25.1759090423584
2018-05-21,25.7889347076416
2018-05-22,24.743999481201172
2018-05-23,25.635679244995117
2018-05-24,24.45839500427246
2018-05-25,24.806703567504883
2018-05-29,24.757936477661133
2018-05-30,25.47545623779297
2018-05-31,25.621746063232422
2018-06-01,25.503320693969727
2018-06-04,24.214570999145508
2018-06-05,24.25636863708496
2018-06-06,23.84536361694336
2018-06-07,24.3330020904541
2018-06-08,23.53188133239746
2018-06-11,23.622440338134766
2018-06-12,23.921987533569336
2018-06-13,23.887157440185547
2018-06-14,23.371658325195312
2018-06-15,22.166505813598633
2018-06-18,22.84919548034668
2018-06-19,22.096843719482422
2018-06-20,22.31279182434082
2018-06-21,22.56357765197754
2018-06-22,22.988521575927734
2018-06-25,22.59840965270996
2018-06-26,24.221538543701172
2018-06-27,24.980857849121094
2018-06-28,25.586917877197266
2018-06-29,26.381071090698242
2018-07-02,25.768041610717773
2018-07-03,26.00489044189453
2018-07-05,26.165117263793945
2018-07-06,26.14421272277832
2018-07-09,25.90039825439453
2018-07-10,25.384897232055664
2018-07-11,24.486251831054688
2018-07-12,25.20377540588379
2018-07-13,25.14804458618164
2018-07-16,24.55591583251953
2018-07-17,24.6464786529541
2018-07-18,24.806703567504883
2018-07-19,24.50018882751465
2018-07-20,24.50018882751465
2018-07-23,24.604684829711914
2018-07-24,24.70917320251465
2018-07-25,24.674345016479492
2018-07-26,26.63882064819336
2018-07-27,26.59701919555664
2018-07-30,26.450727462768555
2018-07-31,25.91433334350586
2018-08-01,26.123315811157227
2018-08-02,26.471630096435547
2018-08-03,26.42285919189453
2018-08-06,27.495664596557617
2018-08-07,25.84466552734375
2018-08-08,25.405792236328125
2018-08-09,23.448286056518555
2018-08-10,22.556612014770508
2018-08-13,22.31976318359375
2018-08-14,22.417287826538086
2018-08-15,22.19437026977539
2018-08-16,21.978412628173828
2018-08-17,22.201335906982422
2018-08-20,22.452117919921875
2018-08-21,22.326725006103516
2018-08-22,22.828296661376953
2018-08-23,23.04425048828125
2018-08-24,22.452117919921875
2018-08-27,22.326725006103516
2018-08-28,22.74469757080078
2018-08-29,23.0024471282959
2018-08-30,22.479982376098633
2018-08-31,21.595273971557617
2018-09-04,21.114606857299805
2018-09-05,20.926515579223633
2018-09-06,21.100671768188477
2018-09-07,20.84292221069336
2018-09-10,20.571237564086914
2018-09-11,20.661800384521484
2018-09-12,20.355283737182617
2018-09-13,20.07663917541504
2018-09-14,19.763158798217773
2018-09-17,19.846750259399414
2018-09-18,20.118436813354492
2018-09-19,20.348318099975586
2018-09-20,20.529441833496094
2018-09-21,20.891685485839844
2018-09-24,20.550342559814453
2018-09-25,20.390119552612305
2018-09-26,20.787193298339844
2018-09-27,20.599103927612305
2018-09-28,20.745397567749023
2018-10-01,20.75932502746582
2018-10-02,20.626972198486328
2018-10-03,21.35841941833496
2018-10-04,20.86382484436035
2018-10-05,20.369218826293945
2018-10-08,20.411014556884766
2018-10-09,20.508544921875
2018-10-10,20.18809700012207
2018-10-11,19.630800247192383
2018-10-12,19.554174423217773
2018-10-15,19.770130157470703
2018-10-16,20.515512466430664
2018-10-17,20.417984008789062
2018-10-18,20.229896545410156
2018-10-19,20.3065242767334
2018-10-22,20.06270408630371
2018-10-23,19.540237426757812
2018-10-24,18.376880645751953
2018-10-25,19.310352325439453
2018-10-26,19.073503494262695
2018-10-29,18.6416015625
2018-10-30,18.112163543701172
2018-10-31,17.938011169433594
2018-11-01,18.286317825317383
2018-11-02,17.694196701049805
2018-11-05,18.369915008544922
2018-11-06,17.972837448120117
2018-11-07,20.14630126953125
2018-11-08,19.310352325439453
2018-11-09,19.435745239257812
2018-11-12,19.261594772338867
2018-11-13,18.857555389404297
2018-11-14,19.066537857055664
2018-11-15,19.164066314697266
2018-11-16,19.345186233520508
2018-11-19,19.352153778076172
2018-11-20,18.55103874206543
2018-11-21,19.115304946899414
2018-11-23,18.265419006347656
2018-11-26,19.073503494262695
2018-11-27,18.746089935302734
2018-11-28,19.052602767944336
2018-11-29,19.122268676757812
2018-11-30,18.481374740600586
2018-12-03,19.129234313964844
2018-12-04,18.188793182373047
2018-12-06,17.157793045043945
2018-12-07,17.78475570678711
2018-12-10,17.394649505615234
2018-12-11,17.324983596801758
2018-12-12,17.60363006591797
2018-12-13,17.422510147094727
2018-12-14,16.196455001831055
2018-12-17,15.987471580505371
2018-12-18,15.040064811706543
2018-12-19,14.691750526428223
2018-12-20,13.723448753356934
2018-12-21,13.44479751586914
2018-12-24,13.18704891204834
2018-12-26,14.00209903717041
2018-12-27,13.918500900268555
2018-12-28,14.204115867614746
2018-12-31,14.399170875549316
2019-01-02,15.221185684204102
2019-01-03,15.416237831115723
2019-01-04,16.217355728149414
2019-01-07,16.4751033782959
2019-01-08,16.40544319152832
2019-01-09,16.55870246887207
2019-01-10,16.74678611755371
2019-01-11,16.3706111907959
2019-01-14,16.377578735351562
2019-01-15,16.363645553588867
2019-01-16,16.948808670043945
2019-01-17,16.767681121826172
2019-01-18,17.20655632019043
2019-01-22,16.99757194519043
2019-01-23,16.900039672851562
2019-01-24,16.753751754760742
2019-01-25,17.109027862548828
2019-01-28,16.60049819946289
2019-01-29,16.273082733154297
2019-01-30,16.39151382446289
2019-01-31,16.05712890625
2019-02-01,16.168590545654297
2019-02-04,16.73285484313965
2019-02-05,16.691057205200195
2019-02-06,16.565664291381836
2019-02-07,15.618261337280273
2019-02-08,15.151521682739258
2019-02-11,15.40230941772461
2019-02-12,15.722752571105957
2019-02-13,16.356678009033203
2019-02-14,16.5795955657959
2019-02-15,17.04633903503418
2019-02-19,17.143861770629883
2019-02-20,16.781618118286133
2019-02-21,16.49599838256836
2019-02-22,16.830385208129883
2019-02-25,16.314884185791016
2019-02-26,15.91083812713623
2019-02-27,16.022302627563477
2019-02-28,16.001401901245117
2019-03-01,16.40544319152832
2019-03-04,16.593530654907227
2019-03-05,16.022302627563477
2019-03-06,15.478934288024902
2019-03-07,15.548598289489746
2019-03-08,14.677820205688477
2019-03-11,15.08186149597168
2019-03-12,15.242086410522461
2019-03-13,15.123656272888184
2019-03-14,15.026128768920898
2019-03-15,14.566361427307129
2019-03-18,15.067928314208984
2019-03-19,15.033096313476562
2019-03-20,15.82724666595459
2019-03-21,16.11286163330078
2019-03-22,15.207253456115723
2019-03-25,15.165454864501953
2019-03-26,15.123656272888184
2019-03-27,15.151521682739258
2019-03-28,15.221185684204102
2019-03-29,15.806346893310547
2019-04-01,15.917808532714844
2019-04-02,15.50680160522461
2019-04-03,15.137590408325195
2019-04-04,15.548598289489746
2019-04-05,16.11982536315918
2019-04-08,16.50296974182129
2019-04-09,16.015331268310547
2019-04-10,16.168590545654297
2019-04-11,16.182523727416992
2019-04-12,16.55870246887207
2019-04-15,16.196455001831055
2019-04-16,16.377578735351562
2019-04-17,16.07802963256836
2019-04-18,15.896910667419434
2019-04-22,16.76072120666504
2019-04-23,16.684091567993164
2019-04-24,16.44027328491211
2019-04-25,15.987471580505371
2019-04-26,16.725887298583984
2019-04-29,17.074199676513672
2019-04-30,16.767681121826172
2019-05-01,16.73285484313965
2019-05-02,15.917808532714844
2019-05-03,16.3706111907959
2019-05-06,16.3706111907959
2019-05-07,15.952637672424316
2019-05-08,16.273082733154297
2019-05-09,16.927907943725586
2019-05-10,16.91397476196289
2019-05-13,16.73982048034668
2019-05-14,16.830385208129883
2019-05-15,17.143861770629883
2019-05-16,17.415542602539062
2019-05-17,16.969703674316406
2019-05-20,16.858243942260742
2019-05-21,16.858243942260742
2019-05-22,15.882972717285156
2019-05-23,14.691750526428223
2019-05-24,14.803211212158203
2019-05-28,14.761414527893066
2019-05-29,14.364337921142578
2019-05-30,13.925466537475586
2019-05-31,13.605025291442871
2019-06-03,13.800076484680176
2019-06-04,14.245912551879883
2019-06-05,13.291544914245605
2019-06-06,13.368171691894531
2019-06-07,13.402999877929688
2019-06-10,13.291544914245605
2019-06-11,13.200982093811035
2019-06-12,12.61582088470459
2019-06-13,12.810873031616211
2019-06-14,12.413800239562988
2019-06-17,12.622785568237305
2019-06-18,13.061657905578613
2019-06-19,12.539191246032715
2019-06-20,13.061657905578613
2019-06-21,13.235815048217773
2019-06-24,13.221879959106445
2019-06-25,13.31941032409668
2019-06-26,13.85580825805664
2019-06-27,14.009063720703125
2019-06-28,14.545463562011719
2019-07-01,14.475798606872559
2019-07-02,13.925466537475586
2019-07-03,13.939400672912598
2019-07-05,14.392206192016602
2019-07-08,14.022994041442871
2019-07-09,14.197152137756348
2019-07-10,15.123656272888184
2019-07-11,15.137590408325195
2019-07-12,15.053995132446289
2019-07-15,14.949499130249023
2019-07-16,14.726583480834961
2019-07-17,14.036927223205566
2019-07-18,14.294676780700684
2019-07-19,14.775347709655762
2019-07-22,14.886808395385742
2019-07-23,15.109728813171387
2019-07-24,16.217355728149414
2019-07-25,15.59039306640625
2019-07-26,15.374442100524902
