Date,SWK
2010-09-29,41.89475631713867
2010-09-30,42.260250091552734
2010-10-01,42.77058792114258
2010-10-04,42.72919464111328
2010-10-05,43.198158264160156
2010-10-06,42.853328704833984
2010-10-07,42.68783187866211
2010-10-08,43.23952865600586
2010-10-11,43.260223388671875
2010-10-12,43.42573547363281
2010-10-13,43.977420806884766
2010-10-14,43.43951416015625
2010-10-15,42.846439361572266
2010-10-18,43.818817138671875
2010-10-19,43.005043029785156
2010-10-20,42.287845611572266
2010-10-21,41.474082946777344
2010-10-22,42.14301681518555
2010-10-25,41.929237365722656
2010-10-26,41.418914794921875
2010-10-27,41.41201400756836
2010-10-28,41.977516174316406
2010-10-29,42.73610305786133
2010-11-01,42.21889114379883
2010-11-02,42.46026611328125
2010-11-03,42.62576675415039
2010-11-04,43.3084716796875
