Date,APO
2011-12-20,4.972959995269775
2011-12-21,5.026345729827881
2011-12-22,5.038664817810059
2011-12-23,5.0509843826293945
2011-12-27,5.0509843826293945
2011-12-28,5.124902248382568
2011-12-29,5.046878337860107
2011-12-30,5.09615421295166
2012-01-03,5.35897159576416
2012-01-04,5.383609294891357
2012-01-05,5.502696990966797
2012-01-06,5.720343589782715
2012-01-09,5.551977157592773
2012-01-10,5.691595554351807
2012-01-11,5.576615810394287
2012-01-12,5.6258931159973145
2012-01-13,5.605361461639404
2012-01-17,5.798365592956543
2012-01-18,5.942093372344971
2012-01-19,6.057074546813965
2012-01-20,6.143312454223633
2012-01-23,6.221334934234619
2012-01-24,6.1186699867248535
2012-01-25,5.942093372344971
2012-01-26,6.01600980758667
2012-01-27,6.204908847808838
2012-01-30,5.921559810638428
