Date,WKC
2010-09-29,22.24953842163086
2010-09-30,22.00421142578125
2010-10-01,22.604860305786133
2010-10-04,21.978822708129883
2010-10-05,22.85019302368164
2010-10-06,22.774049758911133
2010-10-07,22.58793830871582
2010-10-08,22.723297119140625
2010-10-11,22.900949478149414
2010-10-12,22.892494201660156
2010-10-13,23.560821533203125
2010-10-14,23.290109634399414
2010-10-15,23.307025909423828
2010-10-18,23.806163787841797
2010-10-19,23.197053909301758
2010-10-20,23.20551300048828
2010-10-21,22.790971755981445
2010-10-22,22.706371307373047
2010-10-25,23.027849197387695
2010-10-26,23.5269775390625
2010-10-27,23.391630172729492
2010-10-28,23.476228713989258
2010-10-29,23.882299423217773
2010-11-01,24.093793869018555
2010-11-02,24.82981300354004
2010-11-03,24.27991485595703
