Date,AFRM
2021-10-15,146.72999572753906
2021-10-18,157.25
2021-10-19,155.35000610351562
2021-10-20,147.63999938964844
2021-10-21,155.33999633789062
2021-10-22,155.2100067138672
2021-10-25,160.0399932861328
2021-10-26,151.86000061035156
2021-10-27,151.13999938964844
2021-10-28,161.88999938964844
2021-10-29,162.5
2021-11-01,152.66000366210938
2021-11-02,155.88999938964844
2021-11-03,161.0800018310547
2021-11-04,168.52000427246094
2021-11-05,164.22999572753906
2021-11-08,163.3699951171875
2021-11-09,157.7899932861328
2021-11-10,133.52999877929688
2021-11-11,151.8300018310547
2021-11-12,148.99000549316406
2021-11-15,147.99000549316406
2021-11-16,151.2899932861328
2021-11-17,151.72000122070312
2021-11-18,139.1300048828125
2021-11-19,136.16000366210938
2021-11-22,123.51000213623047
