Date,PATK
2010-09-14,0.5858997106552124
2010-09-15,0.5938175320625305
2010-09-16,0.5595075488090515
2010-09-17,0.614930272102356
2010-09-20,0.6439616084098816
2010-09-21,0.6122912168502808
2010-09-22,0.5832605361938477
2010-09-23,0.5727035999298096
2010-09-24,0.5410329103469849
2010-09-27,0.5674251914024353
2010-09-28,0.5542291402816772
2010-09-29,0.5674251914024353
2010-09-30,0.562146782875061
2010-10-01,0.5753428936004639
2010-10-04,0.5410329103469849
2010-10-05,0.564785897731781
2010-10-06,0.564785897731781
2010-10-07,0.5542291402816772
2010-10-08,0.5806213021278381
2010-10-11,0.5595075488090515
2010-10-12,0.562146782875061
2010-10-13,0.5542291402816772
2010-10-14,0.5542291402816772
2010-10-15,0.5515897870063782
2010-10-18,0.5727035999298096
