Date,PGC
2010-09-29,10.300650596618652
2010-09-30,10.248449325561523
2010-10-01,9.961347579956055
2010-10-04,9.72645378112793
2010-10-05,10.283247947692871
2010-10-06,10.552943229675293
2010-10-07,10.639945030212402
2010-10-08,11.083634376525879
2010-10-11,11.179330825805664
2010-10-12,11.118432998657227
2010-10-13,11.083634376525879
2010-10-14,10.86613941192627
2010-10-15,10.787842750549316
2010-10-18,10.86613941192627
2010-10-19,10.552943229675293
2010-10-20,10.692138671875
2010-10-21,10.570340156555176
2010-10-22,10.535543441772461
2010-10-25,10.526846885681152
2010-10-26,10.561641693115234
2010-10-27,10.439847946166992
2010-10-28,10.396346092224121
2010-10-29,10.552943229675293
2010-11-01,10.3528470993042
2010-11-02,10.702311515808105
2010-11-03,10.920727729797363
