Date,SNA
2010-09-29,33.35141372680664
2010-09-30,33.502685546875
2010-10-01,33.59633255004883
2010-10-04,33.35141372680664
2010-10-05,34.1725959777832
2010-10-06,34.071746826171875
2010-10-07,33.891666412353516
2010-10-08,34.107749938964844
2010-10-11,34.295047760009766
2010-10-12,34.35268783569336
2010-10-13,34.91453170776367
2010-10-14,34.763267517089844
2010-10-15,34.94334411621094
2010-10-18,35.116241455078125
2010-10-19,34.2518310546875
2010-10-20,34.820899963378906
2010-10-21,35.145042419433594
2010-10-22,36.01663589477539
2010-10-25,36.33358383178711
2010-10-26,36.376800537109375
2010-10-27,35.95900344848633
2010-10-28,36.38401412963867
2010-10-29,36.736968994140625
2010-11-01,36.80900573730469
2010-11-02,37.277225494384766
2010-11-03,37.2916374206543
2010-11-04,38.20644760131836
