Date,FISI
2012-08-02,10.080492973327637
2012-08-03,10.275259971618652
2012-08-06,10.292967796325684
2012-08-07,10.30477237701416
2012-08-08,10.381494522094727
2012-08-09,10.328377723693848
2012-08-10,10.233948707580566
2012-08-13,10.275259971618652
2012-08-14,10.24575424194336
2012-08-15,10.393298149108887
2012-08-16,10.351984024047852
2012-08-17,10.599864959716797
2012-08-20,10.564455032348633
2012-08-21,10.529046058654785
2012-08-22,10.381494522094727
2012-08-23,10.2516508102417
2012-08-24,10.24575424194336
2012-08-27,10.464118957519531
2012-08-28,10.316569328308105
2012-08-29,10.464118957519531
2012-08-30,10.363789558410645
2012-08-31,10.328377723693848
2012-09-04,10.411004066467285
2012-09-05,10.42870807647705
2012-09-06,10.55264949798584
2012-09-07,10.393298149108887
2012-09-10,10.678863525390625
2012-09-11,10.768098831176758
2012-09-12,10.851385116577148
2012-09-13,11.327325820922852
2012-09-14,11.422513961791992
2012-09-17,11.392766952514648
2012-09-18,11.327325820922852
2012-09-19,11.279732704162598
2012-09-20,11.059606552124023
2012-09-21,11.26783561706543
2012-09-24,11.291632652282715
2012-09-25,11.26783561706543
2012-09-26,11.065561294555664
2012-09-27,11.202391624450684
2012-09-28,11.089357376098633
2012-10-01,11.136950492858887
2012-10-02,11.297584533691406
2012-10-03,11.321378707885742
2012-10-04,11.392766952514648
2012-10-05,11.345171928405762
2012-10-08,11.315427780151367
2012-10-09,11.291632652282715
2012-10-10,11.422513961791992
2012-10-11,11.44035816192627
2012-10-12,11.148845672607422
2012-10-15,11.11910343170166
2012-10-16,11.077459335327148
2012-10-17,11.11315631866455
2012-10-18,11.041763305664062
2012-10-19,10.80379581451416
2012-10-22,10.857336044311523
2012-10-23,10.809743881225586
2012-10-24,10.779997825622559
2012-10-25,11.041763305664062
2012-10-26,11.238086700439453
2012-10-31,11.327325820922852
2012-11-01,11.309479713439941
2012-11-02,11.125049591064453
2012-11-05,11.196441650390625
2012-11-06,11.374921798706055
2012-11-07,10.881134033203125
2012-11-08,10.702656745910645
2012-11-09,10.65506362915039
2012-11-12,10.762153625488281
2012-11-13,10.649113655090332
2012-11-14,10.708608627319336
2012-11-15,10.714555740356445
2012-11-16,10.601522445678711
2012-11-19,10.827591896057129
2012-11-20,10.887080192565918
2012-11-21,10.90493106842041
2012-11-23,10.869237899780273
2012-11-26,10.90493106842041
2012-11-27,10.893031120300293
2012-11-28,10.94062614440918
2012-11-29,11.09531307220459
2012-11-30,11.071511268615723
2012-12-03,11.202391624450684
2012-12-04,11.047712326049805
2012-12-05,10.946575164794922
2012-12-06,10.791894912719727
2012-12-07,10.779997825622559
2012-12-10,10.744305610656738
2012-12-11,10.851385116577148
2012-12-12,10.65506362915039
2012-12-13,10.70308780670166
2012-12-14,10.613041877746582
2012-12-17,10.943199157714844
2012-12-18,11.219330787658691
2012-12-19,11.195323944091797
2012-12-20,11.075262069702148
2012-12-21,11.16530704498291
2012-12-24,11.099274635314941
2012-12-26,11.117281913757324
2012-12-27,11.147296905517578
2012-12-28,11.105278968811035
2012-12-31,11.183313369750977
2013-01-02,11.495465278625488
2013-01-03,11.477457046508789
2013-01-04,11.591506004333496
2013-01-07,11.459446907043457
2013-01-08,11.333386421203613
2013-01-09,11.465449333190918
2013-01-10,11.399418830871582
2013-01-11,11.285360336303711
2013-01-14,11.285360336303711
2013-01-15,11.32738208770752
2013-01-16,11.243341445922852
2013-01-17,11.513472557067871
2013-01-18,11.64553451538086
2013-01-22,11.74758243560791
2013-01-23,11.507469177246094
2013-01-24,11.6215238571167
2013-01-25,11.555492401123047
2013-01-28,11.687557220458984
2013-01-29,11.861634254455566
2013-01-30,11.723573684692383
2013-01-31,12.059734344482422
2013-02-01,12.35387134552002
2013-02-04,12.22181224822998
2013-02-05,12.017709732055664
2013-02-06,11.951679229736328
2013-02-07,11.879642486572266
2013-02-08,12.017709732055664
2013-02-11,11.873642921447754
2013-02-12,12.065736770629883
2013-02-13,12.047722816467285
2013-02-14,12.005708694458008
2013-02-15,12.137763977050781
2013-02-19,12.215801239013672
2013-02-20,11.993699073791504
2013-02-21,12.047722816467285
2013-02-22,12.005708694458008
2013-02-25,11.729578018188477
2013-02-26,11.891650199890137
2013-02-27,11.939674377441406
2013-02-28,11.963683128356934
2013-03-01,12.059734344482422
2013-03-04,12.005708694458008
2013-03-05,11.951679229736328
2013-03-06,12.005708694458008
2013-03-07,12.029718399047852
2013-03-08,12.005708694458008
2013-03-11,11.975688934326172
2013-03-12,12.066554069519043
2013-03-13,12.11501693725586
2013-03-14,12.121071815490723
2013-03-15,12.11501693725586
2013-03-18,12.127126693725586
2013-03-19,12.090784072875977
2013-03-20,12.175591468811035
2013-03-21,12.11501693725586
2013-03-22,12.048379898071289
2013-03-25,12.108956336975098
2013-03-26,12.108956336975098
2013-03-27,12.145299911499023
2013-03-28,12.090784072875977
