Date,SITC
2010-09-29,37.84284973144531
2010-09-30,38.670021057128906
2010-10-01,39.324859619140625
2010-10-04,41.04813766479492
2010-10-05,42.04762649536133
2010-10-06,41.70296096801758
2010-10-07,41.70296096801758
2010-10-08,42.3577995300293
2010-10-11,42.39226150512695
2010-10-12,42.73692321777344
2010-10-13,43.253910064697266
2010-10-14,42.70245361328125
2010-10-15,42.805850982666016
2010-10-18,44.04659652709961
2010-10-19,43.04710388183594
2010-10-20,44.804840087890625
2010-10-21,44.9771728515625
2010-10-22,45.63201141357422
2010-10-25,46.18345260620117
2010-10-26,46.45917892456055
2010-10-27,44.9771728515625
2010-10-28,45.28734588623047
2010-10-29,44.529109954833984
2010-11-01,44.28786087036133
2010-11-02,44.94270706176758
2010-11-03,45.04610061645508
