Date,MIDD
2010-09-29,20.940000534057617
2010-09-30,21.1299991607666
2010-10-01,21.309999465942383
2010-10-04,21.286666870117188
2010-10-05,21.753332138061523
2010-10-06,21.876667022705078
2010-10-07,21.969999313354492
2010-10-08,22.770000457763672
2010-10-11,22.85333251953125
2010-10-12,22.809999465942383
2010-10-13,22.963333129882812
2010-10-14,22.713333129882812
2010-10-15,22.816667556762695
2010-10-18,23.200000762939453
2010-10-19,23.209999084472656
2010-10-20,23.953332901000977
2010-10-21,24.343332290649414
2010-10-22,24.303333282470703
2010-10-25,24.549999237060547
2010-10-26,24.663333892822266
2010-10-27,24.666667938232422
2010-10-28,24.579999923706055
2010-10-29,24.886667251586914
2010-11-01,24.97333335876465
2010-11-02,25.610000610351562
2010-11-03,24.553333282470703
2010-11-04,24.92333221435547
