Date,TDG
2010-09-29,27.075586318969727
2010-09-30,26.641929626464844
2010-10-01,26.616168975830078
2010-10-04,26.191097259521484
2010-10-05,26.710630416870117
2010-10-06,26.792207717895508
2010-10-07,26.783618927001953
2010-10-08,27.28167724609375
2010-10-11,27.217275619506836
2010-10-12,27.170040130615234
2010-10-13,27.423370361328125
2010-10-14,27.200101852416992
2010-10-15,27.18722152709961
2010-10-18,27.049823760986328
2010-10-19,26.792207717895508
2010-10-20,27.251625061035156
2010-10-21,27.904254913330078
2010-10-22,28.0373592376709
2010-10-25,28.09746551513672
2010-10-26,28.19622039794922
2010-10-27,28.234865188598633
2010-10-28,28.2606258392334
2010-10-29,28.453834533691406
2010-11-01,28.647048950195312
2010-11-02,29.093591690063477
2010-11-03,28.788742065429688
2010-11-04,28.93901824951172
