Date,FRST
2010-09-27,4.577417850494385
2010-09-28,4.577417850494385
2010-09-29,4.694787979125977
2010-09-30,4.688266754150391
2010-10-01,4.694787979125977
2010-10-04,4.694787979125977
2010-10-05,4.720870494842529
2010-10-06,4.746952533721924
2010-10-07,4.792594909667969
2010-10-08,4.792594909667969
2010-10-11,5.0729780197143555
2010-10-12,5.053416728973389
2010-10-13,4.988210201263428
2010-10-14,5.020814418792725
2010-10-15,5.020814418792725
2010-10-18,5.020814418792725
2010-10-19,4.968648910522461
2010-10-20,5.053416728973389
2010-10-21,4.733911037445068
2010-10-22,5.125144958496094
2010-10-25,4.883883476257324
2010-10-26,5.151223659515381
2010-10-27,5.053416728973389
2010-10-28,5.053416728973389
2010-10-29,4.949088096618652
2010-11-01,4.85128116607666
2010-11-02,4.792594909667969
