Date,BANR
2010-09-29,10.514992713928223
2010-09-30,10.184924125671387
2010-10-01,10.090621948242188
2010-10-04,9.996315002441406
2010-10-05,9.902012825012207
2010-10-06,9.477641105651855
2010-10-07,8.911808967590332
2010-10-08,8.770352363586426
2010-10-11,8.53459358215332
2010-10-12,8.723200798034668
2010-10-13,8.723200798034668
2010-10-14,8.345979690551758
2010-10-15,8.345979690551758
2010-10-18,8.440284729003906
2010-10-19,8.487438201904297
2010-10-20,8.62968635559082
2010-10-21,8.58227252960205
2010-10-22,8.108107566833496
2010-10-25,8.202942848205566
2010-10-26,8.155526161193848
2010-10-27,8.06069564819336
2010-10-28,7.823616027832031
2010-10-29,7.823616027832031
2010-11-01,7.918449878692627
2010-11-02,8.202942848205566
2010-11-03,7.918449878692627
