Date,QCRH
2010-09-28,8.490625381469727
2010-09-29,8.251457214355469
2010-09-30,8.306647300720215
2010-10-01,8.426233291625977
2010-10-04,8.325043678283691
2010-10-05,8.380233764648438
2010-10-06,8.426233291625977
2010-10-07,8.398638725280762
2010-10-08,8.555018424987793
2010-10-11,8.444634437561035
2010-10-12,8.463028907775879
2010-10-13,8.555018424987793
2010-10-14,8.509025573730469
2010-10-15,8.555018424987793
2010-10-18,8.463028907775879
2010-10-19,8.647008895874023
2010-10-20,8.601015090942383
2010-10-21,8.555018424987793
2010-10-22,8.3434419631958
2010-10-25,8.058277130126953
2010-10-26,8.058277130126953
2010-10-27,8.150264739990234
2010-10-28,8.104270935058594
2010-10-29,8.417033195495605
2010-11-01,8.352641105651855
2010-11-02,8.3434419631958
2010-11-03,8.361838340759277
