Date,UBSI
2010-09-29,13.167096138000488
2010-09-30,13.459097862243652
2010-10-01,13.529396057128906
2010-10-04,13.215764999389648
2010-10-05,13.594286918640137
2010-10-06,13.78895378112793
2010-10-07,13.810589790344238
2010-10-08,13.972808837890625
2010-10-11,13.870068550109863
2010-10-12,13.978214263916016
2010-10-13,14.156661987304688
2010-10-14,14.118805885314941
2010-10-15,13.94576358795166
2010-10-18,14.497328758239746
2010-10-19,14.556803703308105
2010-10-20,14.459480285644531
2010-10-21,14.491920471191406
2010-10-22,14.545991897583008
2010-10-25,14.367547988891602
2010-10-26,14.23236083984375
2010-10-27,14.378365516662598
2010-10-28,14.248590469360352
2010-10-29,14.448657989501953
2010-11-01,14.010658264160156
2010-11-02,14.35132884979248
2010-11-03,14.756885528564453
