Date,NEE
2010-09-28,8.9484224319458
2010-09-29,8.89311408996582
2010-09-30,8.847567558288574
2010-10-01,8.850818634033203
2010-10-04,8.782501220703125
2010-10-05,8.849194526672363
2010-10-06,8.91100788116455
2010-10-07,8.93052864074707
2010-10-08,8.933784484863281
2010-10-11,8.945169448852539
2010-10-12,8.985837936401367
2010-10-13,9.023249626159668
2010-10-14,9.002105712890625
2010-10-15,8.99885082244873
2010-10-18,9.080184936523438
2010-10-19,9.029754638671875
2010-10-20,9.114347457885742
2010-10-21,9.042773246765137
2010-10-22,9.019996643066406
2010-10-25,8.922395706176758
2010-10-26,8.985837936401367
2010-10-27,8.897994995117188
2010-10-28,8.954928398132324
2010-10-29,8.953302383422852
2010-11-01,8.771112442016602
2010-11-02,8.849194526672363
2010-11-03,8.886609077453613
