Date,AQST
2019-04-26,5.5
2019-04-29,5.78000020980835
2019-04-30,5.710000038146973
2019-05-01,5.579999923706055
2019-05-02,5.650000095367432
2019-05-03,5.849999904632568
2019-05-06,5.809999942779541
2019-05-07,5.449999809265137
2019-05-08,4.519999980926514
2019-05-09,4.829999923706055
2019-05-10,5.039999961853027
2019-05-13,4.639999866485596
2019-05-14,4.920000076293945
2019-05-15,5.349999904632568
2019-05-16,5.110000133514404
2019-05-17,5.050000190734863
2019-05-20,5.380000114440918
2019-05-21,4.880000114440918
2019-05-22,4.619999885559082
2019-05-23,4.510000228881836
2019-05-24,4.230000019073486
2019-05-28,4.059999942779541
2019-05-29,3.9800000190734863
2019-05-30,4.03000020980835
2019-05-31,3.7200000286102295
2019-06-03,4.110000133514404
2019-06-04,4.289999961853027
