Date,GCT
2023-05-18,5.289999961853027
2023-05-19,5.269999980926514
2023-05-22,5.465000152587891
2023-05-23,5.659999847412109
2023-05-24,7.159999847412109
2023-05-25,5.789999961853027
2023-05-26,6.449999809265137
2023-05-30,6.760000228881836
2023-05-31,6.75
2023-06-01,6.679999828338623
2023-06-02,6.78000020980835
2023-06-05,6.78000020980835
2023-06-06,6.800000190734863
2023-06-07,7.0
2023-06-08,7.0
2023-06-09,6.980000019073486
2023-06-12,7.5
2023-06-13,7.5
2023-06-14,7.800000190734863
2023-06-15,7.840000152587891
2023-06-16,8.079999923706055
2023-06-20,7.650000095367432
2023-06-21,7.559999942779541
2023-06-22,7.800000190734863
2023-06-23,7.789999961853027
2023-06-26,7.78000020980835
2023-06-27,7.840000152587891
2023-06-28,7.659999847412109
2023-06-29,7.5
2023-06-30,6.760000228881836
2023-07-03,7.150000095367432
2023-07-05,7.400000095367432
2023-07-06,7.389999866485596
2023-07-07,7.130000114440918
2023-07-10,7.360000133514404
2023-07-11,7.079999923706055
2023-07-12,7.570000171661377
2023-07-13,8.0600004196167
2023-07-14,7.75
2023-07-17,8.199999809265137
2023-07-18,8.25
2023-07-19,8.850000381469727
2023-07-20,8.319999694824219
2023-07-21,8.699999809265137
2023-07-24,8.510000228881836
2023-07-25,8.180000305175781
2023-07-26,8.539999961853027
2023-07-27,8.289999961853027
2023-07-28,8.470000267028809
2023-07-31,8.739999771118164
2023-08-01,9.0
2023-08-02,8.84000015258789
2023-08-03,9.399999618530273
2023-08-04,9.079999923706055
2023-08-07,9.239999771118164
2023-08-08,9.729999542236328
2023-08-09,10.390000343322754
2023-08-10,10.630000114440918
2023-08-11,10.720000267028809
2023-08-14,10.319999694824219
2023-08-15,10.140000343322754
2023-08-16,11.59000015258789
2023-08-17,11.890000343322754
2023-08-18,11.539999961853027
2023-08-21,12.59000015258789
2023-08-22,12.960000038146973
2023-08-23,12.65999984741211
2023-08-24,12.300000190734863
2023-08-25,12.09000015258789
2023-08-28,11.600000381469727
2023-08-29,12.25
2023-08-30,12.65999984741211
2023-08-31,12.510000228881836
2023-09-01,13.579999923706055
2023-09-05,14.489999771118164
2023-09-06,14.149999618530273
2023-09-07,14.770000457763672
2023-09-08,16.399999618530273
2023-09-11,17.729999542236328
2023-09-12,13.25
2023-09-13,12.210000038146973
2023-09-14,11.930000305175781
2023-09-15,11.449999809265137
2023-09-18,10.0
2023-09-19,10.520000457763672
2023-09-20,10.619999885559082
2023-09-21,9.8100004196167
2023-09-22,9.25
2023-09-25,9.890000343322754
2023-09-26,9.489999771118164
2023-09-27,9.470000267028809
2023-09-28,7.690000057220459
2023-09-29,8.8100004196167
2023-10-02,9.039999961853027
2023-10-03,8.960000038146973
2023-10-04,8.9399995803833
2023-10-05,8.5
2023-10-06,8.670000076293945
2023-10-09,9.960000038146973
2023-10-10,9.069999694824219
2023-10-11,8.770000457763672
2023-10-12,9.1899995803833
2023-10-13,8.6899995803833
2023-10-16,9.029999732971191
2023-10-17,9.210000038146973
2023-10-18,8.600000381469727
2023-10-19,8.65999984741211
2023-10-20,8.550000190734863
2023-10-23,8.300000190734863
2023-10-24,8.479999542236328
2023-10-25,8.300000190734863
2023-10-26,8.399999618530273
2023-10-27,8.220000267028809
2023-10-30,8.890000343322754
2023-10-31,9.470000267028809
2023-11-01,9.920000076293945
2023-11-02,10.600000381469727
2023-11-03,10.789999961853027
2023-11-06,10.369999885559082
2023-11-07,10.329999923706055
2023-11-08,9.920000076293945
2023-11-09,9.539999961853027
2023-11-10,9.3100004196167
2023-11-13,9.140000343322754
2023-11-14,9.470000267028809
2023-11-15,9.710000038146973
2023-11-16,9.350000381469727
2023-11-17,9.40999984741211
2023-11-20,9.619999885559082
2023-11-21,9.739999771118164
2023-11-22,9.479999542236328
2023-11-24,10.069999694824219
2023-11-27,9.819999694824219
2023-11-28,9.920000076293945
2023-11-29,9.75
2023-11-30,9.720000267028809
2023-12-01,11.800000190734863
2023-12-04,12.279999732971191
2023-12-05,13.449999809265137
2023-12-06,13.640000343322754
2023-12-07,13.390000343322754
2023-12-08,13.329999923706055
2023-12-11,14.569999694824219
2023-12-12,14.199999809265137
2023-12-13,13.520000457763672
2023-12-14,13.140000343322754
2023-12-15,13.079999923706055
2023-12-18,15.5600004196167
2023-12-19,16.520000457763672
2023-12-20,14.90999984741211
2023-12-21,14.899999618530273
2023-12-22,14.859999656677246
2023-12-26,16.459999084472656
2023-12-27,18.219999313354492
2023-12-28,18.0
2023-12-29,18.295000076293945
2024-01-02,20.059999465942383
2024-01-03,18.579999923706055
2024-01-04,20.469999313354492
2024-01-05,20.149999618530273
2024-01-08,22.0
2024-01-09,23.469999313354492
2024-01-10,21.690000534057617
2024-01-11,20.440000534057617
2024-01-12,20.110000610351562
2024-01-16,21.110000610351562
2024-01-17,22.15999984741211
2024-01-18,22.15999984741211
2024-01-19,19.899999618530273
2024-01-22,20.770000457763672
2024-01-23,22.030000686645508
2024-01-24,21.75
2024-01-25,23.290000915527344
2024-01-26,25.6200008392334
2024-01-29,22.649999618530273
2024-01-30,22.989999771118164
2024-01-31,22.219999313354492
2024-02-01,24.68000030517578
2024-02-02,24.9950008392334
2024-02-05,27.8799991607666
2024-02-06,28.15999984741211
2024-02-07,28.809999465942383
2024-02-08,29.700000762939453
2024-02-09,29.280000686645508
2024-02-12,31.540000915527344
2024-02-13,31.540000915527344
2024-02-14,32.7400016784668
2024-02-15,32.47999954223633
2024-02-16,34.5
2024-02-20,25.959999084472656
2024-02-21,27.43000030517578
2024-02-22,34.90999984741211
2024-02-23,32.310001373291016
2024-02-26,33.42499923706055
2024-02-27,34.97999954223633
2024-02-28,34.029998779296875
2024-02-29,37.45000076293945
2024-03-01,39.459999084472656
2024-03-04,40.459999084472656
2024-03-05,37.65999984741211
2024-03-06,36.63999938964844
2024-03-07,33.900001525878906
2024-03-08,34.380001068115234
2024-03-11,30.84000015258789
2024-03-12,36.84000015258789
2024-03-13,37.900001525878906
2024-03-14,34.9900016784668
2024-03-15,43.150001525878906
2024-03-18,34.209999084472656
2024-03-19,29.520000457763672
2024-03-20,28.8799991607666
2024-03-21,30.469999313354492
2024-03-22,26.90999984741211
2024-03-25,27.709999084472656
2024-03-26,25.600000381469727
2024-03-27,26.15999984741211
2024-03-28,26.719999313354492
2024-04-01,30.790000915527344
2024-04-02,33.25
2024-04-03,35.650001525878906
2024-04-04,33.58000183105469
2024-04-05,34.75
2024-04-08,33.4900016784668
2024-04-09,31.59000015258789
2024-04-10,31.020000457763672
2024-04-11,33.79499816894531
2024-04-12,31.75
2024-04-15,32.470001220703125
2024-04-16,35.09000015258789
2024-04-17,34.959999084472656
2024-04-18,36.810001373291016
2024-04-19,34.689998626708984
2024-04-22,37.09000015258789
2024-04-23,37.0
2024-04-24,35.90999984741211
2024-04-25,36.36000061035156
2024-04-26,35.349998474121094
2024-04-29,33.97999954223633
2024-04-30,31.790000915527344
2024-05-01,31.979999542236328
2024-05-02,34.70000076293945
2024-05-03,37.27000045776367
2024-05-06,41.11000061035156
2024-05-07,40.09000015258789
2024-05-08,39.13999938964844
2024-05-09,39.720001220703125
2024-05-10,37.349998474121094
2024-05-13,36.25
2024-05-14,36.97999954223633
2024-05-15,34.869998931884766
2024-05-16,36.209999084472656
2024-05-17,35.7599983215332
2024-05-20,32.650001525878906
2024-05-21,31.450000762939453
2024-05-22,29.829999923706055
2024-05-23,32.349998474121094
2024-05-24,32.54999923706055
2024-05-28,30.6200008392334
2024-05-29,31.760000228881836
2024-05-30,30.270000457763672
2024-05-31,31.139999389648438
2024-06-03,32.56999969482422
2024-06-04,31.34000015258789
2024-06-05,31.979999542236328
2024-06-06,30.100000381469727
2024-06-07,30.600000381469727
2024-06-10,31.920000076293945
2024-06-11,32.91999816894531
2024-06-12,32.34000015258789
2024-06-13,31.80500030517578
2024-06-14,31.170000076293945
2024-06-17,30.059999465942383
2024-06-18,30.200000762939453
2024-06-20,29.459999084472656
2024-06-21,29.329999923706055
2024-06-24,29.549999237060547
2024-06-25,29.389999389648438
2024-06-26,29.43000030517578
2024-06-27,30.1200008392334
2024-06-28,30.420000076293945
2024-07-01,32.0
2024-07-02,31.440000534057617
2024-07-03,31.889999389648438
2024-07-05,32.189998626708984
2024-07-08,31.350000381469727
2024-07-09,31.440000534057617
2024-07-10,31.780000686645508
2024-07-11,31.25
2024-07-12,30.3799991607666
2024-07-15,29.690000534057617
2024-07-16,30.600000381469727
2024-07-17,29.469999313354492
2024-07-18,29.229999542236328
2024-07-19,28.59000015258789
2024-07-22,28.399999618530273
2024-07-23,28.780000686645508
2024-07-24,26.979999542236328
2024-07-25,26.780000686645508
2024-07-26,28.440000534057617
2024-07-29,28.770000457763672
2024-07-30,28.43000030517578
2024-07-31,29.43000030517578
2024-08-01,27.440000534057617
2024-08-02,25.559999465942383
2024-08-05,24.729999542236328
2024-08-06,25.540000915527344
2024-08-07,23.110000610351562
2024-08-08,24.139999389648438
2024-08-09,22.43000030517578
2024-08-12,22.5
2024-08-13,23.170000076293945
2024-08-14,22.389999389648438
2024-08-15,22.450000762939453
2024-08-16,22.399999618530273
2024-08-19,23.190000534057617
2024-08-20,22.1200008392334
2024-08-21,22.270000457763672
2024-08-22,21.270000457763672
2024-08-23,22.540000915527344
2024-08-26,21.8700008392334
2024-08-27,20.809999465942383
2024-08-28,19.690000534057617
2024-08-29,20.100000381469727
2024-08-30,19.440000534057617
2024-09-03,21.049999237060547
2024-09-04,19.43000030517578
2024-09-05,18.459999084472656
2024-09-06,17.110000610351562
2024-09-09,18.239999771118164
2024-09-10,18.479999542236328
2024-09-11,18.489999771118164
2024-09-12,17.360000610351562
2024-09-13,17.079999923706055
2024-09-16,16.170000076293945
2024-09-17,17.290000915527344
2024-09-18,17.350000381469727
2024-09-19,19.43000030517578
2024-09-20,18.299999237060547
2024-09-23,17.93000030517578
2024-09-24,18.81999969482422
2024-09-25,19.6299991607666
2024-09-26,21.739999771118164
2024-09-27,23.760000228881836
2024-09-30,22.979999542236328
2024-10-01,25.209999084472656
2024-10-02,26.399999618530273
2024-10-03,26.209999084472656
2024-10-04,28.329999923706055
2024-10-07,27.3799991607666
