Date,NFG
2010-09-29,32.829261779785156
2010-09-30,33.05254364013672
2010-10-01,33.47999954223633
2010-10-04,33.205657958984375
2010-10-05,33.869117736816406
2010-10-06,33.69688415527344
2010-10-07,34.12431716918945
2010-10-08,34.79417419433594
2010-10-11,35.1897087097168
2010-10-12,34.86433792114258
2010-10-13,34.99832534790039
2010-10-14,34.934539794921875
2010-10-15,34.96004104614258
2010-10-18,35.1641845703125
2010-10-19,34.47520065307617
2010-10-20,34.64106750488281
2010-10-21,34.51346969604492
2010-10-22,34.89623260498047
2010-10-25,34.736751556396484
2010-10-26,34.39863967895508
2010-10-27,34.4815788269043
2010-10-28,34.78779602050781
2010-10-29,35.20246124267578
2010-11-01,35.821292877197266
2010-11-02,36.24871826171875
2010-11-03,36.24233627319336
