Date,POR
2014-05-16,22.145505905151367
2014-05-19,21.931026458740234
2014-05-20,22.03156280517578
2014-05-21,21.8505916595459
2014-05-22,22.00474739074707
2014-05-23,21.951129913330078
2014-05-27,22.239341735839844
2014-05-28,22.252744674682617
2014-05-29,22.11199378967285
2014-05-30,22.165613174438477
2014-06-02,22.038265228271484
2014-06-03,22.07848358154297
2014-06-04,22.03156280517578
2014-06-05,22.473928451538086
2014-06-06,22.58118438720703
2014-06-09,22.35328483581543
2014-06-10,22.152206420898438
2014-06-11,21.931026458740234
2014-06-12,21.783567428588867
2014-06-13,21.931026458740234
2014-06-16,22.125394821166992
2014-06-17,22.071775436401367
2014-06-18,22.427017211914062
2014-06-19,22.641498565673828
2014-06-20,22.7219295501709
2014-06-23,22.82331657409668
2014-06-24,22.985511779785156
2014-06-25,23.08013343811035
2014-06-26,23.059850692749023
2014-06-27,23.208539962768555
2014-06-30,23.431568145751953
2014-07-01,23.262609481811523
2014-07-02,22.87738037109375
2014-07-03,22.620548248291016
2014-07-07,22.65434455871582
2014-07-08,22.735454559326172
2014-07-09,22.72193145751953
2014-07-10,22.870622634887695
2014-07-11,22.63407325744629
2014-07-14,22.384010314941406
2014-07-15,22.4245662689209
2014-07-16,22.43807601928711
2014-07-17,22.140705108642578
2014-07-18,22.40428352355957
2014-07-21,22.39752769470215
2014-07-22,22.39752769470215
2014-07-23,22.343454360961914
2014-07-24,22.363731384277344
2014-07-25,22.181259155273438
2014-07-28,22.417804718017578
2014-07-29,22.4989070892334
2014-07-30,22.208288192749023
2014-07-31,21.579753875732422
2014-08-01,21.71492576599121
2014-08-04,21.572998046875
2014-08-05,21.46486473083496
2014-08-06,21.329689025878906
2014-08-07,21.552719116210938
2014-08-08,21.836576461791992
2014-08-11,21.958219528198242
2014-08-12,21.870365142822266
2014-08-13,21.985260009765625
2014-08-14,22.25560188293457
2014-08-15,22.43807601928711
2014-08-18,22.600284576416016
2014-08-19,22.816543579101562
2014-08-20,22.89089584350586
2014-08-21,22.944965362548828
2014-08-22,22.985511779785156
2014-08-25,23.059850692749023
2014-08-26,22.944965362548828
2014-08-27,23.113924026489258
2014-08-28,23.2017879486084
2014-08-29,23.29640007019043
2014-09-02,23.0733699798584
2014-09-03,23.154468536376953
2014-09-04,23.086891174316406
2014-09-05,23.34370994567871
2014-09-08,23.06661605834961
2014-09-09,22.816543579101562
2014-09-10,22.701658248901367
2014-09-11,22.978757858276367
2014-09-12,22.336702346801758
2014-09-15,22.350215911865234
2014-09-16,22.620548248291016
2014-09-17,22.4245662689209
2014-09-18,22.309661865234375
2014-09-19,22.363731384277344
2014-09-22,22.20153045654297
2014-09-23,21.962953567504883
2014-09-24,22.078828811645508
2014-09-25,21.826623916625977
2014-09-26,21.8538875579834
2014-09-29,21.90160369873047
2014-09-30,21.894784927368164
2014-10-01,21.99021339416504
