Date,TFSL
2010-09-27,4.779840469360352
2010-09-28,4.843149185180664
2010-09-29,4.774564266204834
2010-09-30,4.84842586517334
2010-10-01,4.816771507263184
2010-10-04,4.7851152420043945
2010-10-05,4.827322006225586
2010-10-06,4.837874412536621
2010-10-07,4.822048187255859
2010-10-08,4.79039192199707
2010-10-11,4.753462791442871
2010-10-12,4.7059783935546875
2010-10-13,4.711256504058838
2010-10-14,4.6321187019348145
2010-10-15,4.589914321899414
2010-10-18,4.5793609619140625
2010-10-19,4.542429447174072
2010-10-20,4.489674091339111
2010-10-21,4.484397888183594
2010-10-22,4.58463716506958
2010-10-25,4.6321187019348145
2010-10-26,4.5371551513671875
2010-10-27,4.510776996612549
2010-10-28,4.479123115539551
2010-10-29,4.605740547180176
2010-11-01,4.5793609619140625
2010-11-02,4.574087619781494
