Date,IFF
2010-09-29,34.98807144165039
2010-09-30,34.8515739440918
2010-10-01,35.045536041259766
2010-10-04,34.83721923828125
2010-10-05,35.591426849365234
2010-10-06,35.627349853515625
2010-10-07,35.5483283996582
2010-10-08,35.69916915893555
2010-10-11,35.59861373901367
2010-10-12,35.64171600341797
2010-10-13,35.964942932128906
2010-10-14,35.69916915893555
2010-10-15,35.77101135253906
2010-10-18,35.799739837646484
2010-10-19,35.16044616699219
2010-10-20,35.87156295776367
2010-10-21,35.81409454345703
2010-10-22,35.77101135253906
2010-10-25,35.943389892578125
2010-10-26,36.10142135620117
2010-10-27,35.799739837646484
2010-10-28,35.878761291503906
2010-10-29,36.02958679199219
2010-11-01,36.1301383972168
2010-11-02,36.388729095458984
2010-11-03,36.431827545166016
2010-11-04,38.31377029418945
