Date,EVGO
2021-08-24,9.229999542236328
2021-08-25,9.020000457763672
2021-08-26,8.930000305175781
2021-08-27,9.050000190734863
2021-08-30,9.15999984741211
2021-08-31,9.180000305175781
2021-09-01,8.890000343322754
2021-09-02,9.220000267028809
2021-09-03,9.510000228881836
2021-09-07,8.8100004196167
2021-09-08,8.449999809265137
2021-09-09,8.739999771118164
2021-09-10,8.460000038146973
2021-09-13,8.279999732971191
2021-09-14,7.989999771118164
2021-09-15,7.789999961853027
2021-09-16,7.840000152587891
2021-09-17,7.590000152587891
2021-09-20,7.28000020980835
2021-09-21,7.829999923706055
2021-09-22,8.100000381469727
2021-09-23,8.649999618530273
2021-09-24,8.760000228881836
2021-09-27,9.029999732971191
2021-09-28,8.75
2021-09-29,8.390000343322754
2021-09-30,8.149999618530273
