Date,WOOF
2021-10-13,22.3799991607666
2021-10-14,22.59000015258789
2021-10-15,22.360000610351562
2021-10-18,23.5
2021-10-19,23.3799991607666
2021-10-20,23.299999237060547
2021-10-21,23.709999084472656
2021-10-22,23.68000030517578
2021-10-25,24.649999618530273
2021-10-26,24.459999084472656
2021-10-27,24.309999465942383
2021-10-28,24.700000762939453
2021-10-29,24.729999542236328
2021-11-01,24.520000457763672
2021-11-02,24.889999389648438
2021-11-03,25.040000915527344
2021-11-04,25.639999389648438
2021-11-05,25.690000534057617
2021-11-08,25.59000015258789
2021-11-09,25.5
2021-11-10,24.809999465942383
2021-11-11,24.600000381469727
2021-11-12,24.739999771118164
2021-11-15,24.639999389648438
2021-11-16,25.030000686645508
2021-11-17,24.719999313354492
2021-11-18,21.450000762939453
