Date,LYB
2011-01-20,14.873793601989746
2011-01-21,14.718429565429688
2011-01-24,14.970382690429688
2011-01-25,14.991382598876953
2011-01-26,15.117359161376953
2011-01-27,15.20134162902832
2011-01-28,14.638638496398926
2011-01-31,15.09216022491455
2011-02-01,15.470091819763184
2011-02-02,15.348316192626953
2011-02-03,15.167752265930176
2011-02-04,15.188746452331543
2011-02-07,14.915789604187012
2011-02-08,14.898992538452148
2011-02-09,15.05016803741455
2011-02-10,15.432304382324219
2011-02-11,15.56668472290039
2011-02-14,15.7052583694458
2011-02-15,15.738849639892578
2011-02-16,15.764044761657715
2011-02-17,16.204967498779297
2011-02-18,15.93620777130127
2011-02-22,15.05016803741455
2011-02-23,15.386115074157715
2011-02-24,15.41130542755127
2011-02-25,16.028594970703125
2011-02-28,15.99081039428711
