Date,USD
2010-09-14,0.5176435112953186
2010-09-15,0.5162774920463562
2010-09-16,0.5268179774284363
2010-09-17,0.5250610709190369
2010-09-20,0.531502366065979
2010-09-21,0.5345697999000549
2010-09-22,0.5214799046516418
2010-09-23,0.5249965190887451
2010-09-24,0.5621192455291748
2010-09-27,0.5546942949295044
2010-09-28,0.5730606913566589
2010-09-29,0.5724749565124512
2010-09-30,0.5685667991638184
2010-10-01,0.5689577460289001
2010-10-04,0.5505911111831665
2010-10-05,0.5748192071914673
2010-10-06,0.5654408931732178
2010-10-07,0.5687620639801025
2010-10-08,0.5812669396400452
2010-10-11,0.5865423083305359
2010-10-12,0.5976794362068176
2010-10-13,0.584587812423706
2010-10-14,0.5822433233261108
2010-10-15,0.5894730687141418
2010-10-18,0.5824393630027771
