Date,NATL
2024-07-15,30.729999542236328
2024-07-16,31.989999771118164
2024-07-17,32.5
2024-07-18,33.790000915527344
2024-07-19,33.93000030517578
2024-07-22,33.560001373291016
2024-07-23,32.310001373291016
2024-07-24,32.09000015258789
2024-07-25,31.649999618530273
2024-07-26,32.849998474121094
2024-07-29,32.060001373291016
2024-07-30,31.3700008392334
2024-07-31,32.150001525878906
2024-08-01,30.65999984741211
2024-08-02,29.040000915527344
2024-08-05,27.549999237060547
2024-08-06,27.469999313354492
2024-08-07,27.790000915527344
2024-08-08,28.65999984741211
2024-08-09,28.559999465942383
2024-08-12,28.309999465942383
2024-08-13,29.399999618530273
2024-08-14,27.489999771118164
2024-08-15,27.989999771118164
2024-08-16,28.280000686645508
2024-08-19,28.06999969482422
2024-08-20,27.34000015258789
