Date,OGS
2014-10-13,25.405553817749023
2014-10-14,26.180925369262695
2014-10-15,25.891056060791016
2014-10-16,25.862075805664062
2014-10-17,25.709896087646484
2014-10-20,26.079456329345703
2014-10-21,26.289608001708984
2014-10-22,26.427284240722656
2014-10-23,26.775114059448242
2014-10-24,26.695390701293945
2014-10-27,26.709884643554688
2014-10-28,27.53597640991211
2014-10-29,27.295066833496094
2014-10-30,27.61626625061035
2014-10-31,27.70388412475586
2014-11-03,27.798784255981445
2014-11-04,28.061567306518555
2014-11-05,28.338977813720703
2014-11-06,28.4849853515625
2014-11-07,28.711288452148438
2014-11-10,28.652883529663086
2014-11-11,28.528778076171875
2014-11-12,28.433876037597656
2014-11-13,27.725770950317383
2014-11-14,27.835283279418945
2014-11-17,28.12727928161621
2014-11-18,28.24407958984375
