Date,PACS
2025-01-14,13.720000267028809
2025-01-15,13.819999694824219
2025-01-16,13.829999923706055
2025-01-17,13.819999694824219
2025-01-21,13.960000038146973
2025-01-22,14.09000015258789
2025-01-23,14.369999885559082
2025-01-24,14.25
2025-01-27,14.40999984741211
2025-01-28,14.069999694824219
2025-01-29,13.649999618530273
2025-01-30,13.920000076293945
2025-01-31,14.529999732971191
2025-02-03,14.329999923706055
2025-02-04,14.329999923706055
2025-02-05,14.579999923706055
2025-02-06,14.180000305175781
2025-02-07,14.100000381469727
2025-02-10,14.15999984741211
2025-02-11,14.210000038146973
2025-02-12,14.0600004196167
2025-02-13,13.989999771118164
2025-02-14,13.390000343322754
2025-02-18,13.449999809265137
2025-02-19,13.15999984741211
2025-02-20,13.1899995803833
2025-02-21,12.789999961853027
