Date,PDM
2010-11-03,8.603455543518066
2010-11-04,8.693918228149414
2010-11-05,8.752725601196289
2010-11-08,8.544646263122559
2010-11-09,8.255152702331543
2010-11-10,8.264202117919922
2010-11-11,8.825098037719727
2010-11-12,8.83867073059082
2010-11-15,8.825098037719727
2010-11-16,8.5265531539917
2010-11-17,8.66225814819336
2010-11-18,8.829622268676758
2010-11-19,8.911043167114258
2010-11-22,8.89747142791748
2010-11-23,8.911043167114258
2010-11-24,9.046743392944336
2010-11-26,9.055793762207031
2010-11-29,9.251106262207031
2010-11-30,9.140810012817383
2010-12-01,9.127021789550781
2010-12-02,9.145407676696777
2010-12-03,9.076469421386719
2010-12-06,9.09945011138916
2010-12-07,9.122424125671387
2010-12-08,9.044303894042969
2010-12-09,8.869664192199707
2010-12-10,8.874259948730469
