Date,DY
2012-02-17,22.760000228881836
2012-02-21,22.959999084472656
2012-02-22,22.8700008392334
2012-02-23,22.829999923706055
2012-02-24,22.950000762939453
2012-02-27,22.360000610351562
2012-02-28,22.06999969482422
2012-02-29,21.280000686645508
2012-03-01,21.450000762939453
2012-03-02,21.65999984741211
2012-03-05,21.959999084472656
2012-03-06,21.5
2012-03-07,21.93000030517578
2012-03-08,22.1299991607666
2012-03-09,22.559999465942383
2012-03-12,22.389999389648438
2012-03-13,23.559999465942383
2012-03-14,22.959999084472656
2012-03-15,23.670000076293945
2012-03-16,23.34000015258789
2012-03-19,23.3799991607666
2012-03-20,23.149999618530273
2012-03-21,23.06999969482422
2012-03-22,22.700000762939453
2012-03-23,23.200000762939453
2012-03-26,23.690000534057617
2012-03-27,23.479999542236328
2012-03-28,23.360000610351562
2012-03-29,23.450000762939453
2012-03-30,23.360000610351562
2012-04-02,23.459999084472656
2012-04-03,23.68000030517578
2012-04-04,23.440000534057617
2012-04-05,23.18000030517578
2012-04-09,22.75
2012-04-10,21.979999542236328
2012-04-11,22.139999389648438
2012-04-12,22.3700008392334
2012-04-13,21.989999771118164
2012-04-16,21.979999542236328
2012-04-17,22.110000610351562
2012-04-18,21.84000015258789
2012-04-19,21.68000030517578
2012-04-20,22.540000915527344
2012-04-23,22.030000686645508
2012-04-24,22.219999313354492
2012-04-25,22.770000457763672
2012-04-26,22.989999771118164
2012-04-27,23.790000915527344
2012-04-30,23.389999389648438
2012-05-01,23.270000457763672
2012-05-02,23.579999923706055
2012-05-03,23.059999465942383
2012-05-04,22.31999969482422
2012-05-07,22.40999984741211
2012-05-08,22.440000534057617
2012-05-09,22.149999618530273
2012-05-10,22.049999237060547
2012-05-11,22.899999618530273
2012-05-14,22.420000076293945
2012-05-15,22.270000457763672
2012-05-16,22.18000030517578
2012-05-17,21.530000686645508
2012-05-18,21.100000381469727
2012-05-21,21.920000076293945
2012-05-22,21.200000762939453
2012-05-23,20.65999984741211
2012-05-24,20.700000762939453
2012-05-25,20.670000076293945
2012-05-29,20.479999542236328
2012-05-30,19.8700008392334
2012-05-31,19.579999923706055
2012-06-01,19.6200008392334
2012-06-04,19.420000076293945
2012-06-05,19.149999618530273
2012-06-06,19.6299991607666
2012-06-07,19.3799991607666
2012-06-08,19.34000015258789
2012-06-11,18.25
2012-06-12,18.059999465942383
2012-06-13,18.030000686645508
2012-06-14,18.510000228881836
2012-06-15,18.799999237060547
2012-06-18,18.5
2012-06-19,18.6200008392334
2012-06-20,18.190000534057617
2012-06-21,17.780000686645508
2012-06-22,17.43000030517578
2012-06-25,17.18000030517578
2012-06-26,17.040000915527344
2012-06-27,17.719999313354492
2012-06-28,18.260000228881836
2012-06-29,18.610000610351562
